altitude,TAS (kts),CL,CD
30000,330,0.5071822120637559,0.030803819441823158
30000,340,0.4777867032330711,0.029587765619025725
30000,350,0.4508746358672901,0.02853809336527538
30000,360,0.42617394208135057,0.02762821761418465
30000,370,0.4034488158783274,0.02683637977541223
30000,380,0.3824940643611013,0.02614467178940192
30000,390,0.3631304595249377,0.025538276686661282
30000,400,0.3452008930858939,0.025004873576666548
30000,410,0.3285671796177455,0.024534168443922314
30000,420,0.31310738601895133,0.024117521877544065
30500,330,0.5166406275298767,0.031210536596607524
30500,340,0.48669692333913134,0.029948703597886605
30500,350,0.45928297418778447,0.02885951571590864
30500,360,0.43412163841052165,0.0279153870713219
30500,370,0.4109727124762863,0.027093739956804884
30500,380,0.3896271768559806,0.026375992151679985
30500,390,0.3699024611308586,0.025746768891527987
30500,400,0.35163852711252247,0.025193285457494295
30500,410,0.3346946123617108,0.024704860308846145
30500,420,0.318946509852628,0.024272528798181245
31000,330,0.5263178264866871,0.03163443908806216
31000,340,0.4958132465778567,0.030324892570247133
31000,350,0.4678858065665326,0.02919451937542942
31000,360,0.44225317364506367,0.028214690523163496
31000,370,0.4186706450284898,0.02736197457836001
31000,380,0.39692528604155297,0.026617086673365084
31000,390,0.3768311065378057,0.0259640706798893
31000,400,0.35822507065250153,0.025389658452247568
31000,410,0.34096377932421323,0.024882764550064135
31000,420,0.3249206990045365,0.02443408534694706
31500,330,0.5362198589120009,0.03207633295784746
31500,340,0.505141372279558,0.030717047851515952
31500,350,0.4766885113103422,0.029543741346241353
31500,360,0.45057363144688983,0.028526697088919986
31500,370,0.42654742611772767,0.027641593682561652
31500,380,0.40439295453959084,0.026868413790612902
31500,390,0.38392072738669897,0.026190595246519545
31500,400,0.36496464147198066,0.0255943659600404
31500,410,0.347378599854354,0.0250682194487444
31500,420,0.3310336884099598,0.0246024987202167
32000,330,0.5463529696813609,0.03253706583414497
32000,340,0.5146871833762994,0.031125921662736797
32000,350,0.48569663998612433,0.02990785149594006
32000,360,0.45908825924614377,0.02885200525066149
32000,370,0.4346080233623099,0.027933133626777552
32000,380,0.4120348919549877,0.027130455591911053
32000,390,0.39117579486061954,0.026426777104363176
32000,400,0.3718614899893764,0.025807800644959
32000,410,0.35394311956157176,0.025261580739169037
32000,420,0.33728933332369737,0.02477809196370566
32500,330,0.5567236057436022,0.03301752927407063
32500,340,0.5244567531615769,0.0315523052093449
32500,350,0.4949159237998229,0.03028755440848655
32500,360,0.46780247427066596,0.0291912445072178
32500,370,0.4428575651240198,0.02823715856547817
32500,380,0.41985596028724587,0.027403719150326467
32500,390,0.39860092482234255,0.026673073285307526
32500,400,0.3789200041592394,0.026030375521185596
32500,410,0.3606615149641778,0.025463222591802746
32500,420,0.34369161374987695,0.024961204865203774
33000,330,0.5673384235939166,0.03351866124921328
33000,340,0.5344563523302555,0.03199703088693881
33000,350,0.5043522802398167,0.03068359134849031
33000,360,0.4767218698254441,0.029545077129134442
33000,370,0.45130134645272135,0.02855426202302165
33000,380,0.4278611795663265,0.02768873793715531
33000,390,0.40620088316487535,0.026929964614324838
33000,400,0.3861447145586096,0.026262525104425102
33000,410,0.3675380983306219,0.025673538656428577
33000,420,0.3502446390554282,0.02515219490185682
33500,330,0.5782042970581527,0.034041448783733524
33500,340,0.5446924563117027,0.0324609746224408
33500,350,0.5140118199970029,0.031096742346058512
33500,360,0.4858522218335869,0.029914200021346586
33500,370,0.45994483527854535,0.028885068562975146
33500,380,0.43605573372321915,0.02798607332234159
33500,390,0.41398059138483134,0.027197957061820058
33500,400,0.39354029968520526,0.02650470663400549
33500,410,0.3745773227223845,0.025892943169310515
33500,420,0.3569526527756964,0.02535143824559149
34000,330,0.5893283254027696,0.034586930755125374
34000,340,0.5551717529097026,0.03294505835961094
34000,350,0.5239008541743806,0.031527828410195115
34000,360,0.4951994956509385,0.030299346700703646
34000,370,0.4687936788631237,0.029230235560364904
34000,380,0.44444497670610544,0.028296316167410206
34000,390,0.4219451323889653,0.027477583179363142
34000,400,0.40111159147726017,0.02675740137033166
34000,410,0.38178378724783824,0.02612187212862271
34000,420,0.36382003762109766,0.02555933083053391
34500,330,0.6007178417856215,0.03515620086846215
