Altitude (ft),TAS (kts),Climb Thrust (N)
500,180,120140.5688367187
500,190,117936.76825269006
500,200,115797.58694768713
500,210,113718.25662962934
500,220,111694.63225455639
500,230,109723.08199778796
500,240,107800.40073326431
1000,180,118990.25464565279
1000,190,116808.37411485185
1000,200,114690.8142169825
1000,210,112632.81324036175
1000,220,110630.23276035927
1000,230,108679.44758528842
1000,240,106777.25921740975
1500,180,117857.10552326082
1500,190,115696.71587193638
1500,200,113600.35211822593
1500,210,111563.25905142938
1500,220,109581.30478788269
1500,230,107650.87069128732
1500,240,105768.76481518304
2000,180,116740.99430570377
2000,190,114601.67419221191
2000,200,112526.08907221806
2000,210,110509.49015539963
2000,220,108547.75201964444
2000,230,106637.26250551446
2000,240,104774.83613999267
2500,180,115641.79379466767
2500,190,113523.1296000044
2500,200,111467.91324876877
2500,210,109471.40228926709
2500,220,107529.477680512
2500,230,105638.53366051233
2500,240,103795.39115108772
3000,180,114559.37677249372
3000,190,112460.96249172179
3000,200,110425.7125835573
3000,210,108448.89085208635
3000,220,106526.38455605177
3000,230,104654.59425064233
3000,240,102830.34717316573
3500,180,113493.6160171832
3500,190,111415.05315175626
3500,200,109399.3747948677
3500,210,107441.85092248798
3500,220,105538.37501076407
3500,230,103685.35385098192
3500,240,101879.62091587402
4000,180,112444.38431728064
4000,190,110385.28176825811
4000,200,108388.78740020338
4000,210,106450.17727607294
4000,220,104565.35100620259
4000,230,102730.72153610887
4000,240,100943.12849320391
4500,180,111411.55448662845
4500,190,109371.52844879177
4500,200,107393.83773278253
4500,210,105473.7644026889
4500,220,103607.21411897561
4500,230,101790.6058987758
4500,240,100020.78544277833
5000,180,110394.9993790004
5000,190,108373.67323586188
5000,200,106414.41295790428
5000,210,104512.50652358614
5000,220,102663.86555863188
5000,230,100864.91506846678
5000,240,99112.50674503094
5500,180,109394.59190260831
5500,190,107391.59612231847
5500,200,105450.40008919846
5500,210,103566.29760845046
5500,220,101735.20618542783
5500,230,99953.55672984505
5500,240,98218.2068422744
6000,180,108410.2050344832
6000,190,106425.17706663649
6000,200,104501.68600474639
6000,210,102635.03139231783
6000,220,100821.13652797492
6000,230,99056.43814108174
6000,240,97337.79965765847
6500,180,107441.7118347326
6500,190,105474.29600806869
6500,200,103568.1574630809
6500,210,101718.60139236343
6500,220,99921.55680077079
6500,230,98173.46615207057
6500,240,96471.19861401798
7000,180,106488.98546067094
7000,190,104538.83288167614
7000,200,102649.70111906056
7000,210,100816.90092457097
7000,220,99036.36692160687
7000,230,97304.54722252711
7000,240,95618.31665260649
7500,180,105551.89918082656
7500,190,103618.66763322965
7500,200,101746.20353962007
7500,210,99929.82312027711
7500,220,98165.46652885854
7500,230,96449.58743996797
7500,240,94779.0662517191
8000,180,104630.3263888202
8000,190,102713.68023398788
8000,200,100857.55121939484
8000,210,99057.26094259368
8000,220,97308.75499865193
8000,230,95608.49253757544
8000,240,93953.35944519818
8500,180,103724.14061712305
8500,190,101823.75069535107
8500,200,99983.63059622019
8500,210,98199.10720270623
8500,220,96466.13146191083
8500,230,94781.16791194079
8500,240,93141.1078408274
9000,180,102833.21555068195
9000,190,100948.75908338404
9000,200,99124.32806650695
9000,210,97355.2545760464
9000,220,95637.49482128046
9000,230,93967.51864069022
9000,240,92342.22263860759
9500,180,101957.42504042615
9500,190,100088.58553321712
9500,200,98279.53000048765
9500,210,96525.59561834148
9500,220,94822.74376792926
9500,230,93167.44949998951
9500,240,91556.61464891859
10000,180,101096.6431166451
10000,190,99243.11026332084
10000,200,97449.12275734039
10000,210,95710.0227815385
10000,220,94021.77679822722
10000,230,92380.86498192903
10000,240,90784.19431056135
