Altitude (ft),TAS (kts),Climb Thrust (N)
500,180,116590.9052787953
500,190,114405.31657067883
500,200,112283.93782181089
500,210,110222.07102769826
500,220,108215.6293382356
500,230,106261.02931728936
500,240,104355.1062092405
1000,180,115475.30815301053
1000,190,113311.69485081319
1000,200,111211.98892520311
1000,210,109171.49937106014
1000,220,107186.14635194167
1000,230,105252.35343673923
1000,240,103366.96284977053
1500,180,114376.30260812416
1500,190,112234.2329539021
1500,200,110155.77199730102
1500,210,108136.23564960006
1500,220,106171.55100639047
1500,230,104258.14856101143
1500,240,102392.87743799806
2000,180,113293.76830536581
2000,190,111172.81843735876
2000,200,109115.18241221043
2000,210,107116.18297342239
2000,220,105171.7540659212
2000,230,103278.33302597087
2000,240,101432.77579777956
2500,180,112227.58480805327
2500,190,110127.33865031207
2500,200,108090.11522781478
2500,210,106111.24403095513
2500,220,104186.66577026705
2500,230,102312.8245425068
2500,240,100486.58303021255
3000,180,111177.63159709435
3000,190,109097.6807500093
3000,200,107080.46520302063
3000,210,105121.32110697382
3000,220,103216.19585329904
3000,230,101361.54021593812
3000,240,99554.22353364718
3500,180,110143.78808636205
3500,190,108083.73171809565
3500,200,106086.12681487587
3500,210,104146.31610050579
3500,220,102260.25356165525
3500,230,100424.39656530897
3500,240,98635.62102358894
4000,180,109125.93363794698
4000,190,107085.3783767639
4000,200,105106.99427556685
4000,210,103186.13054261265
4000,220,101318.74767325279
4000,230,99501.30954256999
4000,240,97730.69855249414
4500,180,108123.94757727932
4500,190,106102.50740478477
4500,200,104142.96154929382
4500,210,102240.66561405279
4500,220,100391.5865156806
4500,230,98592.19455164895
4500,240,96839.37852945704
5000,180,107137.70920812862
5000,190,105135.00535340594
5000,200,103193.9223690169
5000,210,101309.82216282221
5000,220,99478.67798447539
5000,230,97696.96646740164
5000,240,95961.58273978761
5500,180,106167.09782747502
5500,190,104182.7586621291
5500,200,102259.77025308352
5500,210,100393.5007215713
5500,220,98579.9295612775
5500,230,96815.53965445318
5500,240,95097.23236447714
6000,180,105211.99274025363
6000,190,103245.653674359
6000,200,101340.39852172582
6000,210,99491.60152490159
6000,220,97695.24833186615
6000,230,95947.82798591896
6000,240,94246.24799955236
6500,180,104272.27327397397
6500,190,102323.57665292591
6500,200,100435.70031343559
6500,210,98604.0245265359
6500,220,96824.54100407644
6500,230,95093.74486201016
6500,240,93408.54967531882
7000,180,103347.8187932104
7000,190,101416.41379548276
7000,200,99545.5686012125
7000,210,97730.66941636702
7000,220,95967.71392559202
7000,230,94253.20322852259
7000,240,92584.05687548759
7500,180,102438.5087139682
7500,190,100524.05124977269
7500,200,98669.89620868643
7500,210,96871.43563738068
7500,220,95124.67310161884
7500,230,93426.11559520426
7500,240,91772.68855619137
8000,180,101544.22251791939
8000,190,99646.37512877151
8000,200,97808.57582611337
8000,210,96026.2224024543
8000,220,94295.32421243399
8000,230,92612.39405400687
8000,240,90974.36316488092
8500,180,100664.83976651671
8500,190,98783.2715257044
8500,200,96961.50002624345
8500,210,95194.92871103069
8500,220,93479.57263081355
8500,230,91811.95029721525
8500,240,90188.99865910936
9000,180,99800.24011497338
9000,190,97934.62652893008
9000,200,96128.56128006485
9000,210,94377.45336566499
9000,220,92677.32343933551
9000,230,91024.695635457
9000,240,89416.51252519681
9500,180,98950.30332612245
9500,190,97100.32623670208
9500,200,95309.65197241651
9500,210,93573.69498844608
9500,220,91888.48144756007
9500,230,90250.54101559064
9500,240,88656.8217967794
10000,180,98114.90928414647
10000,190,96280.25677180142
10000,200,94504.66441747671
10000,210,92783.55203729223
10000,220,91112.95120908419
10000,230,89489.39703847225
10000,240,87909.84307323763
