Altitude (ft),TAS (kts),Climb Thrust (N)
500,180,123760.79114724806
500,190,121440.7972592841
500,200,119188.96199258769
500,210,117000.29843371552
500,220,114870.468407223
500,230,112795.668109633
500,240,110772.53816520114
1000,180,122576.58915002907
1000,190,120279.92206972506
1000,200,118051.09242037394
1000,210,115885.12071833965
1000,220,113777.6762331533
1000,230,111724.9625971445
1000,240,109723.6278437445
1500,180,121409.99905121209
1500,190,119136.20046919484
1500,200,116929.92227157287
1500,210,114786.192316441
1500,220,112700.68723165724
1500,230,110669.61799982535
1500,240,108689.6399789305
2000,180,120260.8931116618
2000,190,118009.5131003262
2000,200,115825.34048620588
2000,210,113703.41037977327
2000,220,111639.406679429
2000,230,109629.54763151474
2000,240,107670.49583307211
2500,180,119129.14348830987
2500,190,116899.74038465891
2500,200,114737.23566862578
2500,210,112636.67161248243
2500,220,110593.7392962954
2500,230,108604.66414264259
2500,240,106666.11590127657
3000,180,118014.62225060999
3000,190,115806.76254005118
3000,200,113665.49610582223
3000,210,111585.87229023885
3000,220,109563.58926511272
3000,230,107594.87954082827
3000,240,105676.41993268745
3500,180,116917.20139685886
3500,190,114730.45959796019
3500,200,112610.00978559334
3500,210,110550.9082792427
3500,220,108548.86025154134
3500,230,106600.10521136282
3500,240,104701.32695161137
4000,180,115836.75287038612
4000,190,113670.7114205851
4000,200,111570.66441458747
4000,210,109531.67505510007
4000,220,107549.45542369605
4000,230,105620.25193756972
4000,240,103740.75527853095
4500,180,114773.14857560674
4500,190,112627.39771788305
4500,200,110547.34743621689
4500,210,108528.06772157137
4500,220,106565.27747167012
4500,230,104655.22992104819
4500,240,102794.62255100237
5000,180,113726.26039394287
5000,190,111600.39806444604
5000,200,109539.94604843328
5000,210,107539.98102919126
5000,220,105596.2286269351
5000,230,103704.9488017898
5000,240,101862.84574443726
5500,180,112695.96019960979
5500,190,110589.5919162481
5500,200,108548.34722137782
5500,210,106567.30939375605
5500,220,104642.21068161305
5500,230,102769.31767817817
5500,240,100945.3411927653
6000,180,111682.11987526692
6000,190,109594.8586272567
6000,200,107572.43771489299
6000,210,105609.94691468443
6000,220,103703.12500762111
6000,230,101848.24512686122
6000,240,100042.02460897871
6500,180,110684.6113275364
6500,190,108616.07746590988
6500,200,106612.10409590478
6500,210,104667.78739324347
6500,220,102778.87257569014
6500,230,100941.63922250092
6500,240,99152.8111055587
7000,180,109703.30650238442
7000,190,107653.12763146013
7000,200,105667.2327556698
7000,210,103740.72435064567
7000,220,101869.35397425164
7000,230,100049.40755739914
7000,240,98277.61521477869
7500,180,108738.07740037098
7500,190,106705.88827018092
7500,200,104737.70992688928
7500,210,102828.65104601263
7500,220,100974.46942819843
7500,230,99171.4572609947
7500,240,97416.35090888968
8000,180,107788.79609176115
8000,190,105774.23849144034
8000,200,103823.4217006885
8000,210,101931.46049420688
8000,220,100094.11881751253
8000,230,98307.69501923722
8000,240,96568.93162017879
8500,180,106855.33473150672
8500,190,104858.05738364121
8500,200,102924.25404346081
8500,210,101049.04548353095
8500,220,99228.2016957649
8500,230,97458.02709383151
8500,240,95735.27026090868
9000,180,105937.56557408602
9000,190,103957.22403002078
9000,200,102040.09281357963
9000,210,100181.29859329193
9000,220,98376.61730848235
9000,230,96622.35934135474
9000,240,94915.27924312999
9500,180,105035.36098821535
9500,190,103071.61752431937
9500,200,101170.82377797131
9500,210,99328.11221123255
9500,220,97539.26461138435
9500,230,95800.59723224468
9500,240,94108.87049837117
10000,180,104148.59347142305
10000,190,102201.1169863133
10000,200,100316.33262855608
10000,210,98489.37855082925
10000,220,96716.04228848634
10000,230,94992.6458696587
10000,240,93315.95549719992
