Altitude (ft),TAS (kts),Climb Thrust (N)
500,180,109528.03263225974
500,190,107474.84305653033
500,200,105481.97371328447
500,210,103545.01119490518
500,220,101660.11622550173
500,230,99823.92244721952
500,240,98033.45681978675
1000,180,108480.01642460418
1000,190,106447.47102322837
1000,200,104474.96160160202
1000,210,102558.08132747136
1000,220,100692.99751373318
1000,230,98876.3503832057
1000,240,97105.17345272154
1500,180,107447.58670896287
1500,190,105435.27987913611
1500,200,103482.7284435407
1500,210,101585.53206733885
1500,220,99739.86457553062
1500,230,97942.37269591115
1500,240,96190.09642752733
2000,180,106430.6304364772
2000,190,104438.16399324157
2000,200,102505.17595125963
2000,210,100627.27239403196
2000,220,98800.63358097324
2000,230,97021.91266827093
2000,240,95288.15606152121
2500,180,105429.03446630796
2500,190,103456.01753886588
2500,200,101542.20553985168
2500,210,99683.21089094318
2500,220,97875.22020731375
2500,230,96114.89299610436
2500,240,94399.28199304502
3000,180,104442.68558019829
3000,190,102488.73450907253
3000,200,100593.71834354436
3000,210,98753.25576226499
3000,220,96963.539656587
3000,230,95221.23580634479
3000,240,93523.40320026422
3500,180,103471.47049691745
3500,190,101536.20873196048
3500,200,99659.61523178105
3500,210,97837.3148498097
3500,220,96065.50667311074
3500,230,94340.86267516635
3500,240,92660.44801986533
4000,180,102515.275886589
4000,190,100598.33388583557
4000,200,98739.79682518831
4000,210,96935.2956497146
4000,220,95181.03556087584
4000,230,93473.69464600312
4000,240,91810.3441656519
4500,180,101573.98838489711
4500,190,99675.00351427005
4500,200,97834.1635114293
4500,210,96047.10532903444
4500,220,94310.04020082523
4500,230,92619.65224746462
4500,240,90973.01874703928
5000,180,100647.49460717727
5000,190,98766.11104103811
5000,200,96942.61546093512
5000,210,95172.65074221985
5000,220,93452.43406802253
5000,230,91778.65551113866
5000,240,90148.39828744618
5500,180,99735.68116238702
5500,190,97871.54978493728
5500,200,96065.05264252503
5500,210,94311.83844747888
5500,220,92608.13024870814
5500,230,90950.62398929127
5500,240,89336.40874258132
6000,180,98838.43466695695
6000,190,96991.21297448961
6000,200,95201.37483890442
6000,210,93464.57472302596
6000,220,91777.04145724187
6000,230,90135.47677245348
6000,240,88536.97551862491
6500,180,97955.6417585244
6500,190,96124.9937625238
6500,200,94351.48166204803
6500,210,92630.76558321199
6500,220,90959.0800529346
6500,230,89333.13250689987
6500,240,87750.02349030638
7000,180,97087.18910954644
7000,190,95272.78524063936
7000,200,93515.27256846351
7000,210,91810.31679454028
7000,220,90154.15805676313
7000,230,88543.50941201732
7000,240,86975.47701887245
7500,180,96232.96344079524
7500,190,94434.48045354965
7500,200,92692.64687433738
7500,210,91003.13389156414
7500,220,89362.18716797327
7500,230,87766.52529755996
7500,240,86213.25996995122
8000,180,95392.85153473199
8000,190,93609.97241330669
8000,200,91883.50377056176
8000,210,90209.12219266818
8000,220,88583.07878056559
8000,230,87002.0975807949
8000,240,85463.29573130392
8500,180,94566.74024876533
8500,190,92799.1541134084
8500,200,91087.74233764126
8500,210,89428.1868157319
8500,220,87816.74399966742
8500,230,86250.14330353355
8500,240,84725.5072304713
9000,180,93754.51652838483
9000,190,92001.91854278103
9000,200,90305.26156048318
9000,210,88660.23269367426
9000,220,87063.09365778789
9000,230,85510.57914905025
9000,240,83999.81695230743
9500,180,92956.06742018019
9500,190,91218.15869964624
9500,200,89535.96034306407
9500,210,87905.16458988025
9500,220,86322.03833095708
9500,230,84783.32145888667
9500,240,83286.14695640541
10000,180,92171.28008473973
10000,190,90447.76760526732
10000,200,88779.73752298068
10000,210,87162.8871135095
10000,220,85593.48835474772
10000,230,84068.2862495423
10000,240,82584.4188944091
