Altitude (ft),TAS (kts),Cruise Thrust (N)
32000,330,52961.54579653336
32000,340,52732.80178551487
32000,350,52508.92572639932
32000,360,52289.628677788714
32000,370,52074.646286497366
32000,380,51863.736095864246
32000,390,51656.67521093272
32000,400,51453.25826535294
32000,410,51253.295644533384
32000,420,51056.61192735203
32000,430,50863.04451503639
32000,440,50672.442420948486
32500,330,52133.95037423132
32500,340,51914.38431624849
32500,350,51699.685027642896
32500,360,51489.56363720635
32500,370,51283.75585597001
32500,380,51082.019286170536
32500,390,50884.13108699707
32500,400,50689.88594198749
32500,410,50499.09428261158
32500,420,50311.58073036065
32500,430,50127.182725960854
32500,440,49945.749319452
33000,330,51304.041172499354
33000,340,51093.734853278016
33000,350,50888.29411595065
33000,360,50687.430159793155
33000,370,50490.87876032271
33000,380,50298.39757892062
33000,390,50109.76382914884
33000,400,49924.772244642045
33000,410,49743.23330312443
33000,420,49564.97166887938
33000,430,49389.824822297196
33000,440,49217.64185024923
33500,330,50471.80820334162
33500,340,50270.844459487984
33500,350,50074.745105044545
33500,360,49883.22141006807
33500,370,49696.009214833364
33500,380,49512.86624011542
33500,390,49333.5697540779
33500,400,49157.914540663325
33500,410,48985.711124045054
33500,420,48816.784211478705
33500,430,48650.971323185826
33500,440,48488.12158302434
34000,330,49637.24147437238
34000,340,49445.70421141459
34000,350,49259.03014033914
34000,360,49076.93060228312
34000,370,48899.14150255284
34000,380,48725.42062156819
34000,390,48555.54528232554
34000,400,48389.31031928804
34000,410,48226.526303274666
34000,420,48067.01798469507
34000,430,47910.62292377047
34000,440,47757.1902815019
34500,330,48800.33099090253
34500,340,48618.30520172223
34500,350,48441.141401808294
34500,360,48268.551003680084
34500,370,48100.26997795172
34500,380,47936.05616494147
34500,390,47775.68694271136
34500,400,47618.9571964598
34500,410,47465.67754384962
34500,420,47315.672778627835
34500,430,47168.780501185305
34500,440,47024.84990982395
35000,330,47961.06675811972
35000,340,47788.63854178402
35000,350,47621.07110696586
35000,360,47458.075937871494
35000,370,47299.38907070167
35000,380,47144.768405928604
35000,390,46993.99137691503
35000,400,46846.852919811194
35000,410,46703.16369932366
35000,420,46562.748552721816
35000,430,46425.4451207376
35000,440,46291.10263913301
35500,330,47119.438783364814
35500,340,46956.69536436903
35500,350,46798.811513963745
35500,360,46645.498788349585
35500,370,46496.493289595
35500,380,46351.55297858416
35500,390,46210.45534421758
35500,400,46072.995373815735
35500,410,45938.983779330716
35500,420,45808.24544174079
35500,430,45680.618042291986
35500,440,45555.950854367
36000,330,46275.43707850974
36000,340,46122.46682644171
36000,350,45974.35492481313
36000,360,45830.813002128976
36000,370,45691.577226609195
36000,380,45556.40561981
36000,390,45425.07572640893
36000,400,45297.38258511714
36000,410,45173.13695533563
36000,420,45052.16376193992
36000,430,44934.30072686451
36000,440,44819.39716127485
36500,330,45439.50605581241
36500,340,45296.335469859754
36500,350,45158.02301638084
36500,360,45024.28033681814
36500,370,44894.84361122823
36500,380,44769.47087202347
36500,390,44647.93967386165
36500,400,44530.04506464935
36500,410,44415.59781227769
36500,420,44304.422849476745
36500,430,44196.35790546154
36500,440,44091.25229815803
37000,330,44605.633205763465
37000,340,44472.256622508525
37000,350,44343.73817172731
37000,360,44219.78949486233
37000,370,44100.146771970125
37000,380,43984.568035463075
37000,390,43872.83083999898
37000,400,43764.73023348438
37000,410,43660.07698381043
37000,420,43558.6960237072
37000,430,43460.42508238971
37000,440,43365.11347778391
37500,330,43771.760355714505
37500,340,43648.17777515728
37500,350,43529.45332707378
37500,360,43415.29865290651
37500,370,43305.44993271202
37500,380,43199.66519890268
37500,390,43097.72200613629
37500,400,42999.415402319406
37500,410,42904.55615534316
37500,420,42812.96919793765
37500,430,42724.49225931786
37500,440,42638.97465740977
38000,330,42937.88750566555
38000,340,42824.09892780603
38000,350,42715.16848242024
38000,360,42610.80781095068
38000,370,42510.7530934539
38000,380,42414.76236234227
38000,390,42322.613172273595
38000,400,42234.10057115443
38000,410,42149.03532687589
38000,420,42067.24237216809
38000,430,41988.55943624601
38000,440,41912.83583703564
38500,330,42104.0146556166
38500,340,42000.02008045479
38500,350,41900.88363776672
38500,360,41806.31696899487
38500,370,41716.0562541958
38500,380,41629.85952578188
38500,390,41547.504338410916
38500,400,41468.78573998946
38500,410,41393.51449840864
38500,420,41321.51554639854
38500,430,41252.62661317418
38500,440,41186.69701666152
39000,330,41270.141805567655
39000,340,41175.94123310356
39000,350,41086.59879311319
39000,360,41001.82612703906
39000,370,40921.359414937695
39000,380,40844.956689221486
39000,390,40772.395504548236
39000,400,40703.470908824485
39000,410,40637.99366994138
39000,420,40575.78872062899
39000,430,40516.69379010234
39000,440,40460.55819628739
39500,330,40436.268955518695
39500,340,40351.86238575231
39500,350,40272.313948459654
39500,360,40197.33528508323
39500,370,40126.662575679584
39500,380,40060.05385266109
39500,390,39997.28667068555
39500,400,39938.15607765951
39500,410,39882.47284147411
39500,420,39830.06189485944
39500,430,39780.7609670305
39500,440,39734.41937591326
40000,330,39602.39610546975
40000,340,39527.783538401076
40000,350,39458.02910380613
40000,360,39392.84444312742
40000,370,39331.96573642149
40000,380,39275.1510161007
40000,390,39222.17783682286
40000,400,39172.84124649454
40000,410,39126.952013006856
40000,420,39084.33506908989
40000,430,39044.828143958664
40000,440,39008.28055553914
40500,330,38768.52325542079
40500,340,38703.704691049825
40500,350,38643.74425915259
40500,360,38588.35360117159
40500,370,38537.26889716337
40500,380,38490.24817954029
40500,390,38447.069002960176
40500,400,38407.52641532956
40500,410,38371.431184539586
40500,420,38338.60824332033
40500,430,38308.89532088681
40500,440,38282.141735165
