Altitude (ft),TAS (kts),Cruise Thrust (N)
32000,330,54876.85705629573
32000,340,54637.348916188705
32000,350,54402.889226658765
32000,360,54173.1783326566
32000,370,53947.942079051
32000,380,53726.929019136056
32000,390,53509.90799323832
32000,400,53296.66602023386
32000,410,53087.006454816204
32000,420,52880.74737142762
32000,430,52677.72014229961
32000,440,52477.76818236418
32500,330,54024.25808889014
32500,340,53794.53840650735
32500,350,53569.8659483291
32500,360,53349.94113209846
32500,370,53134.489869282115
32500,380,52923.26077425578
32500,390,52716.02274349942
32500,400,52512.56284762662
32500,410,52312.68448910008
32500,420,52116.205786555554
32500,430,51922.95815318767
32500,440,51732.78504196619
33000,330,53169.324827248995
33000,340,52949.48083372305
33000,350,52734.6828328877
33000,360,52524.63131558361
33000,370,52319.05226015458
33000,380,52117.69434231394
33000,390,51920.32651493056
33000,400,51726.73590057239
33000,410,51536.725949671614
33000,420,51350.11482524268
33000,430,51166.733981615165
33000,440,50986.426909955975
33500,330,52312.047808896146
33500,340,52102.16785622818
33500,350,51897.33265955096
33500,360,51697.24278311051
33500,370,51501.624272409375
33500,380,51310.22586475684
33500,390,51122.816569648065
33500,400,50939.183561824226
33500,410,50759.13033988891
33500,420,50582.47511142223
33500,430,50409.04937206181
33500,440,50238.6966513327
34000,330,51452.417582666254
34000,340,51252.59116296919
34000,350,51057.80825733195
34000,360,50867.76950371639
34000,370,50682.20101506789
34000,380,50500.851590552214
34000,390,50323.490296530385
34000,400,50149.90436013741
34000,410,49979.897328352126
34000,420,49813.287453508754
34000,430,49649.90627272775
34000,440,49489.59735405445
34500,330,50590.42471121794
34500,340,50400.742476375795
34500,350,50216.1025083857
34500,360,50036.2055192386
34500,370,49860.77768960923
34500,380,49689.56788078272
34500,390,49522.34521622747
34500,400,49358.89697569501
34500,410,49199.02675474493
34500,420,49042.55285065572
34500,430,48889.30684220695
34500,440,48739.1323361279
35000,330,49726.05977365333
35000,340,49546.61355540748
35000,350,49372.20835148273
35000,360,49202.54494821507
35000,370,49037.349594297695
35000,380,48876.37121340014
35000,390,48719.378986342024
35000,400,48566.16024571591
35000,410,48416.51863586951
35000,420,48270.27249921742
35000,430,48127.25345637609
35000,440,47987.30515292388
35500,330,48859.31336824699
35500,340,48690.19619872066
35500,350,48526.118785614344
35500,360,48366.78198992778
35500,370,48211.912128664255
35500,380,48061.258188145206
35500,390,47914.589406787374
35500,400,47771.693170250895
35500,410,47632.373171880754
35500,420,47496.44779942119
35500,430,47363.74871550491
35500,440,47234.11960472592
36000,330,47990.17611528992
36000,340,47831.48224796236
36000,350,47677.826873735976
36000,360,47528.91092859583
36000,370,47384.4607981495
36000,380,47244.2255316402
36000,390,47107.974425329776
36000,400,46975.494918174576
36000,410,46846.59075272788
36000,420,46721.08036225878
36000,430,46598.7954515972
36000,440,46479.579744520874
36500,330,47129.45538885257
36500,340,46981.214008954455
36500,350,46838.010896109816
36500,360,46699.54699972101
36500,370,46565.548717671074
36500,380,46435.765110461914
36500,390,46309.965484705695
36500,400,46187.93728889515
36500,410,46069.48427438845
36500,420,45954.42488260054
36500,430,45842.59082591181
36500,440,45733.82583511111
37000,330,46270.87010396694
37000,340,46133.075371224186
37000,350,46000.31890553493
37000,360,45872.30165630149
37000,370,45748.75002140692
37000,380,45629.41306135314
37000,390,45514.06008275229
37000,400,45402.478534097114
37000,410,45294.47216674579
37000,420,45189.85942211326
37000,430,45088.47201257989
37000,440,44990.15366893456
37500,330,45412.284819081295
37500,340,45284.936733493916
37500,350,45162.62691496002
37500,360,45045.05631288196
37500,370,44931.95132514276
37500,380,44823.06101224435
37500,390,44718.15468079888
37500,400,44617.01977929907
37500,410,44519.46005910312
37500,420,44425.29396162596
37500,430,44334.35319924796
37500,440,44246.48150275801
38000,330,44553.699534195635
38000,340,44436.79809576363
38000,350,44324.93492438511
38000,360,44217.81096946243
38000,370,44115.1526288786
38000,380,44016.708963135556
38000,390,43922.249278845455
38000,400,43831.561024501025
38000,410,43744.447951460446
38000,420,43660.72850113865
38000,430,43580.23438591603
38000,440,43502.80933658144
38500,330,43695.11424931
38500,340,43588.65945803337
38500,350,43487.242933810216
38500,360,43390.5656260429
38500,370,43298.35393261445
38500,380,43210.35691402677
38500,390,43126.34387689205
38500,400,43046.10226970299
38500,410,42969.43584381778
38500,420,42896.163040651365
38500,430,42826.115572584116
38500,440,42759.137170404894
39000,330,42836.52896442436
39000,340,42740.5208203031
39000,350,42649.55094323532
39000,360,42563.32028262338
39000,370,42481.555236350294
39000,380,42404.004864917995
39000,390,42330.438474938645
39000,400,42260.64351490495
39000,410,42194.42373617512
39000,420,42131.59758016407
39000,430,42071.99675925219
39000,440,42015.465004228354
39500,330,41977.943679538716
39500,340,41892.38218257283
39500,350,41811.85895266042
39500,360,41736.07493920385
39500,370,41664.756540086135
39500,380,41597.652815809204
39500,390,41534.53307298523
39500,400,41475.18476010691
39500,410,41419.41162853245
39500,420,41367.03211967677
39500,430,41317.87794592026
39500,440,41271.79283805179
40000,330,41119.35839465308
40000,340,41044.24354484256
40000,350,40974.166962085525
40000,360,40908.82959578433
40000,370,40847.95784382199
40000,380,40791.30076670043
40000,390,40738.62767103182
40000,400,40689.72600530887
40000,410,40644.39952088978
40000,420,40602.46665918948
40000,430,40563.75913258834
40000,440,40528.120671875244
40500,330,40260.77310976742
40500,340,40196.104907112276
40500,350,40136.474971510615
40500,360,40081.58425236479
40500,370,40031.159147557824
40500,380,39984.94871759164
40500,390,39942.7222690784
40500,400,39904.26725051082
40500,410,39869.3874132471
40500,420,39837.90119870217
40500,430,39809.64031925641
40500,440,39784.44850569868
