Altitude (ft),TAS (kts),Cruise Thrust (N)
36500,440,43084.308903894125
37000,330,43590.24036167054
37000,340,43460.42854902616
37000,350,43335.363119394984
37000,360,43214.76234720318
37000,370,43098.368481040074
37000,380,42985.94511919087
37000,390,42877.274933124616
37000,400,42772.15768516974
37000,410,42670.408496039374
37000,420,42571.85632545819
37000,430,42476.342635283865
37000,440,42383.72020951509
37500,330,42781.39585852924
37500,340,42661.425483045066
37500,350,42546.201490574094
37500,360,42435.4421555425
37500,370,42328.88972653959
37500,380,42226.3078018506
37500,390,42127.47905294455
37500,400,42032.20324214988
37500,410,41940.29549017973
37500,420,41851.58475675874
37500,430,41765.91250374462
37500,440,41683.131515136054
38000,330,41972.551355387935
38000,340,41862.42241706397
38000,350,41757.039861753205
38000,360,41656.12196388181
38000,370,41559.41097203911
38000,380,41466.67048451032
38000,390,41377.68317276448
38000,400,41292.248799130015
38000,410,41210.18248432007
38000,420,41131.313188059285
38000,430,41055.48237220538
38000,440,40982.542820757015
38500,330,41163.70685224664
38500,340,41063.419351082885
38500,350,40967.87823293232
38500,360,40876.80177222114
38500,370,40789.93221753865
38500,380,40707.033167170055
38500,390,40627.887292584426
38500,400,40552.294356110164
38500,410,40480.06947846042
38500,420,40411.04161935984
38500,430,40345.05224066614
38500,440,40281.95412637798
39000,330,40354.86234910535
39000,340,40264.4162851018
39000,350,40178.71660411145
39000,360,40097.48158056046
39000,370,40020.453463038175
39000,380,39947.395849829794
39000,390,39878.09141240436
39000,400,39812.33991309031
39000,410,39749.956472600774
39000,420,39690.7700506604
39000,430,39634.6221091269
39000,440,39581.36543199895
39500,330,39546.01784596405
39500,340,39465.4132191207
39500,350,39389.55497529056
39500,360,39318.16138889978
39500,370,39250.974708537695
39500,380,39187.75853248952
39500,390,39128.2955322243
39500,400,39072.38547007045
39500,410,39019.84346674111
39500,420,38970.498481960945
39500,430,38924.19197758766
39500,440,38880.77673761991
40000,330,38737.17334282276
40000,340,38666.410153139615
40000,350,38600.393346469675
40000,360,38538.841197239104
40000,370,38481.49595403723
40000,380,38428.12121514926
40000,390,38378.499652044244
40000,400,38332.431027050596
40000,410,38289.73046088147
40000,420,38250.22691326151
40000,430,38213.761846048415
40000,440,38180.18804324088
40500,330,37928.32883968145
40500,340,37867.40708715852
40500,350,37811.231717648785
40500,360,37759.52100557841
40500,370,37712.01719953674
40500,380,37668.48389780898
40500,390,37628.70377186417
40500,400,37592.47658403073
40500,410,37559.617455021806
40500,420,37529.955344562055
40500,430,37503.33171450917
40500,440,37479.59934886184
