Altitude (ft),TAS (kts),Cruise Thrust (N)
32000,330,51697.653059087075
32000,340,51472.02044460666
32000,350,51251.143806696695
32000,360,51034.74085034965
32000,370,50822.55330317861
32000,380,50614.34428564525
32000,390,50409.89602994652
32000,400,50209.007893683345
32000,410,50011.494623884355
32000,420,49817.184834561514
32000,430,49625.91966712964
32000,440,49437.55160802921
32500,330,50894.4480655822
32500,340,50678.03682999547
32500,350,50466.3804156546
32500,360,50259.196596127345
32500,370,50056.22716176642
32500,380,49857.23529057646
32500,390,49662.00326765467
32500,400,49470.330499342155
32500,410,49282.03177766929
32500,420,49096.93575828126
32500,430,48914.883621182846
32500,440,48735.72788864865
33000,330,50089.044011489656
33000,340,49881.9363323314
33000,350,49679.58231425089
33000,360,49481.69979967864
33000,370,49288.0306419701
33000,380,49098.338076914
33000,390,48912.404442729654
33000,400,48730.029194702656
33000,410,48551.0271700538
33000,420,48375.227066235966
33000,430,48202.47010200581
33000,440,48032.608835622166
33500,330,49281.43198252689
33500,340,49083.711093264676
33500,350,48890.7427000266
33500,360,48702.244714395936
33500,370,48517.95905299612
33500,380,48337.649009643384
33500,390,48161.09697590279
33500,400,47988.102456210545
33500,410,47818.480333168154
33500,420,47652.05934621229
33500,430,47488.68075301457
33500,440,47328.19714796972
34000,330,48471.60307506691
34000,340,48283.35328322952
34000,350,48099.854817434636
34000,360,47920.82565871077
34000,370,47746.007787217
34000,380,47575.16455504249
34000,390,47408.078407323694
34000,400,47244.54889785535
34000,410,47084.39095481162
34000,420,46927.433359790564
34000,430,46773.51740954335
34000,440,46622.495734753415
34500,330,47659.54839850579
34500,340,47480.85510420357
34500,350,47306.91196099111
34500,360,47137.43701963723
34500,370,46972.172324106585
34500,380,46810.88128500888
34500,390,46653.346401279574
34500,400,46499.36727628164
34500,410,46348.75888395556
34500,420,46201.35004823987
34500,430,46056.98210513141
34500,440,45915.50772175646
35000,330,46845.25907773049
35000,340,46676.20879257799
35000,350,46511.90747854771
35000,360,46352.073256446456
35000,370,46196.44823431676
35000,380,46044.79588153865
35000,390,45896.89875107621
35000,400,45752.55649607218
35000,410,45611.58413642873
35000,420,45473.8105386056
35000,430,45339.07707801276
35000,440,45207.23645837489
35500,330,46028.72625568967
35500,340,45869.40662214108
35500,350,45714.83477468813
35500,360,45564.72890447585
35500,370,45418.83118389944
35500,380,45276.905141361174
35500,390,45138.73338408547
35500,400,45004.115615208255
35500,410,44872.86690079039
35500,420,44744.816149995146
35500,430,44619.804777814614
35500,440,44497.68552472883
36000,330,45209.94109607295
36000,340,45060.440907181146
36000,350,44915.687314254516
36000,360,44775.39857907926
36000,370,44639.3169386804
36000,380,44507.205980736704
36000,390,44378.84836696653
36000,400,44254.0438507144
36000,410,44132.60754439864
36000,420,44014.36840006999
36000,430,43899.16787247311
36000,440,43786.85873900172
36500,330,44399.084864811826
36500,340,44259.43161500724
36500,350,44124.52474821586
36500,360,43994.08253886385
36500,370,43867.84723554054
36500,380,43745.582436531135
36500,390,43627.07081330468
36500,400,43512.11212818959
36500,410,43400.52150189902
36500,420,43292.127894157624
36500,430,43186.7727668231
