Altitude (ft),TAS (kts),Cruise Thrust (N)
32000,330,48565.899867806904
32000,340,48353.935681555675
32000,350,48146.43936315196
32000,360,47943.14571852489
32000,370,47743.81212097596
32000,380,47548.21604071401
32000,390,47356.15290192773
32000,400,47167.434216782836
32000,410,46981.8859546082
32000,420,46799.347111678486
32000,430,46619.668452783095
32000,440,46442.71140047535
32500,330,47811.351624711686
32500,340,47608.05020238675
32500,350,47409.21556257227
32500,360,47214.582575618486
32500,370,47023.90867376589
32500,380,46836.971381280404
32500,390,46653.5661720464
32500,400,46473.50460401716
32500,410,46296.61268879718
32500,420,46122.72946177225
32500,430,45951.70572398407
32500,440,45783.40293164928
33000,330,47054.73753626403
33000,340,46860.176077229175
33000,350,46670.08031081761
33000,360,46484.18517207075
33000,370,46302.24815241523
33000,380,46124.04683040062
33000,390,45949.376729815325
33000,400,45778.04945459217
33000,410,45609.8910587885
33000,420,45444.74061706518
33000,430,45282.448966868236
33000,440,45122.877598218714
33500,330,46296.049228193
33500,340,46110.30592377824
33500,350,45929.027217510076
33500,360,45751.948109393525
33500,370,45578.82615029052
33500,380,45409.438973262964
33500,390,45243.5821522134
33500,400,45081.06733724781
33500,410,44921.72062505517
33500,420,44765.38112973684
33500,430,44611.89972529638
33500,440,44461.1379357017
34000,330,45535.27833623771
34000,340,45358.432386769535
34000,350,45186.04993634176
34000,360,45017.86605019777
34000,370,44853.63833888628
34000,380,44693.14449021201
34000,390,44536.18012840368
34000,400,44382.5569499357
34000,410,44232.10109430904
34000,420,44084.65171523235
34000,430,43940.0597234214
34000,440,43798.186676934485
34500,330,44772.41650837143
34500,340,44604.54814057123
34500,350,44441.14216803524
34500,360,44281.93372152245
34500,370,44126.680471521875
34500,380,43975.16016081376
34500,390,43827.16846416672
34500,400,43682.5171246207
34500,410,43541.03232467051
34500,420,43402.55325780037
34500,430,43266.930871594304
34500,440,43134.02675834579
35000,330,44007.455407119916
35000,340,43848.64589188029
35000,350,43694.2976634177
35000,360,43544.14591828632
35000,370,43397.94838717137
35000,380,43255.48286806316
35000,390,43116.545086486
35000,400,42980.94683224404
35000,410,42848.51433100946
35000,420,42719.08681621187
35000,430,42592.51527246081
35000,440,42468.66132643112
35500,330,43240.386711976484
35500,340,43090.718382525374
35500,350,42945.51022661157
35500,360,42804.497506866486
35500,370,42667.43801442962
35500,380,42534.109602738106
35500,390,42404.30804828956
35500,400,42277.84518785282
35500,410,42154.54729046256
35500,420,42034.253629665014
35500,430,41916.815227254025
35500,440,41802.09374443319
36000,330,42471.20212191893
36000,340,42330.75839238174
36000,350,42194.7737183474
36000,360,42062.983428809195
36000,370,41935.14537562129
36000,380,41811.0374679064
36000,390,41690.45553335497
36000,400,41573.21145590288
36000,410,41459.13154813401
36000,420,41348.05512388401
36000,430,41239.83324229117
36000,440,41134.32759923659
36500,330,41709.46613963736
36500,340,41578.27283888014
36500,350,41451.538393574054
36500,360,41328.99814458664
36500,370,41210.40995463584
36500,380,41095.551742808275
36500,390,40984.219345954414
36500,400,40876.22465644979
36500,410,40771.39399467063
36500,420,40669.566681661614
36500,430,40570.59378324318
36500,440,40474.33700150127
37000,330,40949.62001851289
37000,340,40827.67197790571
37000,350,40710.18279274967
37000,360,40596.8878039123
37000,370,40487.54487411153
37000,380,40381.931922434014
37000,390,40279.844785730194
37000,400,40181.09535637561
37000,410,40085.50995474649
37000,420,39992.92790188752
37000,430,39903.200263619125
37000,440,39816.188742027254
37500,330,40189.77389738842
37500,340,40077.07111693128
37500,350,39968.82719192527
37500,360,39864.77746323795
37500,370,39764.67979358722
37500,380,39668.31210205974
37500,390,39575.47022550597
37500,400,39485.966056301426
37500,410,39399.62591482235
37500,420,39316.28912211342
37500,430,39235.80674399506
37500,440,39158.04048255324
38000,330,39429.92777626393
38000,340,39326.47025595683
38000,350,39227.471591100875
38000,360,39132.667122563595
38000,370,39041.8147130629
38000,380,38954.692281685464
38000,390,38871.09566528173
38000,400,38790.83675622723
38000,410,38713.741874898195
38000,420,38639.65034233931
38000,430,38568.413224371
38000,440,38499.892223079216
38500,330,38670.08165513946
38500,340,38575.86939498241
38500,350,38486.115990276485
38500,360,38400.556781889245
38500,370,38318.9496325386
38500,380,38241.0724613112
38500,390,38166.72110505751
38500,400,38095.70745615305
38500,410,38027.85783497406
38500,420,37963.01156256521
38500,430,37901.01970474694
38500,440,37841.7439636052
39000,330,37910.23553401499
39000,340,37825.26853400798
39000,350,37744.7603894521
39000,360,37668.446441214895
