Altitude (ft),TAS (kts),Cruise Thrust (N)
39000,370,37596.08455201429
39000,380,37527.452640936935
39000,390,37462.346544833286
39000,400,37400.578156078875
39000,410,37341.97379504992
39000,420,37286.37278279111
39000,430,37233.626185122885
39000,440,37183.595704131185
39500,330,37150.38941289051
39500,340,37074.66767303354
39500,350,37003.404788627704
39500,360,36936.336100540546
39500,370,36873.21947148998
39500,380,36813.83282056267
39500,390,36757.97198460906
39500,400,36705.44885600469
39500,410,36656.08975512577
39500,420,36609.73400301701
39500,430,36566.23266549882
39500,440,36525.44744465716
40000,330,36390.54329176604
40000,340,36324.06681205911
40000,350,36262.04918780331
40000,360,36204.225759866196
40000,370,36150.35439096568
40000,380,36100.21300018841
40000,390,36053.59742438484
40000,400,36010.3195559305
40000,410,35970.205715201635
40000,420,35933.09522324291
40000,430,35898.839145874765
40000,440,35867.299185183154
40500,330,35630.69717064155
40500,340,35573.46595108467
40500,350,35520.693586978916
40500,360,35472.11541919184
40500,370,35427.48931044136
40500,380,35386.593179814125
40500,390,35349.222864160605
40500,400,35315.19025585631
40500,410,35284.32167527748
40500,420,35256.4564434688
40500,430,35231.4456262507
40500,440,35209.150925709124
