altitude,TAS (kts),CL,CD
30000,330,0.4704226864981926,0.0315157926708036
30000,340,0.44315770380322816,0.030444716268926433
30000,350,0.4181961678339036,0.029520185496011386
30000,360,0.39528572962695363,0.028718784746008662
30000,370,0.3742076739200379,0.02802134947848775
30000,380,0.3547716797759916,0.027412106625156384
30000,390,0.3368115092679368,0.026878005689339853
30000,400,0.3201814409978324,0.026408194671856282
30000,410,0.304753304935474,0.02599360680537104
30000,420,0.2904140054402107,0.025626632665900546
30500,330,0.47919557542795915,0.03187402117891851
30500,340,0.45142212944727295,0.030762623375052547
30500,350,0.4259950870539165,0.029803288010345173
30500,360,0.40265739324154914,0.02897171798227942
30500,370,0.38118625393794575,0.028248027288223492
30500,380,0.36138779892039313,0.02761584907196664
30500,390,0.34309269009930815,0.027061641541981936
30500,400,0.32615248852565476,0.026574144168173525
30500,410,0.3104366339328064,0.026143948858563842
30500,420,0.2958299215652197,0.025763159727211212
31000,330,0.4881713908701379,0.03224738619515565
31000,340,0.4598777202920244,0.031093963257702542
31000,350,0.43397440380210645,0.03009835267568193
31000,360,0.41019957149504666,0.029235338603552954
31000,370,0.38832625614140276,0.028484283091978327
31000,380,0.3681569561340584,0.027828200407045485
31000,390,0.3495191615105722,0.0272530367033113
31000,400,0.33226165291098775,0.026747105657791093
31000,410,0.31625142454347427,0.0263006434316084
31000,420,0.30137111375146275,0.025905455572763275
31500,330,0.49735574431257046,0.03263659766523057
31500,340,0.4685297625920323,0.03143936595268548
31500,350,0.4421391065766444,0.030405940551268912
31500,360,0.4179169795959795,0.02951014787888893
31500,370,0.3956321443070777,0.0287305661251877
31500,380,0.37508338334930014,0.028049564411984595
31500,390,0.3560949411942073,0.027452555107196554
31500,400,0.33851275347274334,0.026927408023339025
31500,410,0.32220131205020186,0.026463988475935476
31500,420,0.3070410462337807,0.02605379077511039
32000,330,0.5067544280150401,0.03304240216345257
32000,340,0.47738371289652143,0.03179949400157134
32000,350,0.4504943445782685,0.030726641643371157
32000,360,0.42581448465152694,0.029796672939578953
32000,370,0.4031085260105031,0.0289873488009215
32000,380,0.3821714488285172,0.02828036570088658
32000,390,0.3628241762711235,0.02766057946413323
32000,400,0.3449097325677367,0.027115397115657747
32000,410,0.3282900488449606,0.026634297315336942
32000,420,0.3128432948460197,0.026208449866594884
32500,330,0.5163734216647647,0.033465584955876405
32500,340,0.4864452043191426,0.03217504428261897
32500,350,0.4590454336268808,0.031061076535748713
32500,360,0.4338971112599761,0.030095468235869338
32500,370,0.410760157920328,0.029255128015393508
32500,380,0.38942566218346886,0.028521050893782426
32500,390,0.3697111480558376,0.027877512318860913
32500,400,0.3514566601205806,0.02731143670955387
32500,410,0.3345215087405883,0.026811899511833416
32500,420,0.3187815511297783,0.02636973212565042
33000,330,0.5262188993078296,0.03390697218951598
33000,340,0.4957200530676701,0.032566749953576786
33000,350,0.4677978623234504,0.031409898119758764
33000,360,0.44217004733505155,0.030407117082692114
33000,370,0.4185919513120721,0.029534426533239667
33000,380,0.3968506796026501,0.028772089861746664
33000,390,0.37676027701921544,0.028103777172602623
33000,400,0.35815773834139164,0.027515909517954292
33000,410,0.3408996914611699,0.026997141784447794
33000,420,0.3248596266135071,0.02653795241114909
33500,330,0.5362972365692965,0.03436743321593015
33500,340,0.5052142652456435,0.0329753825137309
33500,350,0.47675729846854215,0.03177379343064997
33500,360,0.45063865017281185,0.030732233300271673
33500,370,0.4266089778115151,0.029825794457823587
33500,380,0.404451309296374,0.029033977048436698
33500,390,0.38397612795789876,0.028339819674186244
33500,400,0.36501730663997756,0.027729218268308244
33500,410,0.34742872731943125,0.027190388984372385
33500,420,0.33108145726982086,0.02671344204796005
34000,330,0.5466150181753654,0.03484788305807876
34000,340,0.5149340439385579,0.033401753993097416
34000,350,0.48592959574936573,0.0321534855970811
34000,360,0.45930845277235577,0.03107146295588982
34000,370,0.4348164753783587,0.03012981079219973
34000,380,0.4122325171696489,0.029307232873117067
34000,390,0.39136341537999536,0.028586108884609475
34000,400,0.37203984674560814,0.02795178684535931
34000,410,0.35411288208981134,0.02739202513026396
34000,420,0.3374511081592817,0.02689654976711087
34500,330,0.5571790457916629,0.03534928502998024
34500,340,0.5248857965978555,0.03384671927721711
34500,350,0.49532080070785395,0.032549735911396385
34500,360,0.4681851704221613,0.031425486213538814
34500,370,0.44321985454135937,0.03044708509676554
34500,380,0.4201994327334633,0.029592405220589545
34500,390,0.3989270091171078,0.028843138619934202
34500,400,0.37922998804195057,0.02818406150470281
34500,410,0.36095656208633004,0.02760245450766685
34500,420,0.3439727782693429,0.027087642704184213
35000,330,0.5679963461924333,0.03587265351938204
35000,340,0.5350761427366435,0.03431117857661477
35000,350,0.5049371600029061,0.032963346028727414
35000,360,0.47727470756447543,0.03179501929867248
35000,370,0.4518247048966837,0.030778259250063937
35000,380,0.4283573552656233,0.029890071023836853
35000,390,0.40667194017328073,0.029111428877744917
35000,400,0.38659251312722503,0.028426512161859013
35000,410,0.36796431945482444,0.02782210283684964
35000,420,0.35065080555757366,0.027287107459841538
35500,330,0.5790741797761964,0.036419056944389405
35500,340,0.5455119219517974,0.034796080050636384
35500,350,0.514785127980635,0.03339516030357167
35500,360,0.48658316495083187,0.032180816585783444
35500,370,0.4606368018818685,0.031124009319662096
35500,380,0.43671176023287944,0.030200837945605095
35500,390,0.41460340682201047,0.02939152735278195
35500,400,0.3941323636101737,0.028679633761932513
35500,410,0.3751408576896358,0.02805141851364897
35500,420,0.3574896722087743,0.027495351226645287
36000,330,0.5904200494442099,0.03698962089578524
36000,340,0.5562002022878414,0.035302422596076535
36000,350,0.5248713745671386,0.033846068273119895
36000,360,0.49611684710242654,0.03258367281709065
36000,370,0.4696621138383819,0.0314850475505309
36000,380,0.4452683059866654,0.03052534616559809
36000,390,0.42272678096301436,0.02968401104776415
36000,400,0.40185464615296546,0.028943947735293178
36000,410,0.38249103738533297,0.02829087392824465
36000,420,0.36449401011606836,0.02771280298665118
36500,330,0.6042871331389486,0.03770200638892344
36500,340,0.569263570924148,0.035934623566796435
36500,350,0.5371989289700533,0.03440905563932261
36500,360,0.5077690493737,0.03308666452258045
36500,370,0.4806929788081193,0.03193582681464319
36500,380,0.4557262382190549,0.0309305153806555
36500,390,0.43265528467344855,0.0300491956003021
36500,400,0.411292929992697,0.029273960593265032
36500,410,0.39147453181934266,0.02858984928971646
36500,420,0.3730548117847592,0.02798430538161777
37000,330,0.6189852491926697,0.03847513776487879
37000,340,0.58310980654915,0.036620732999232845
37000,350,0.5502652541802592,0.035020049548196805
37000,360,0.5201195496688408,0.03363254687575186
37000,370,0.492384906041503,0.032425044514992486
37000,380,0.46681089776372414,0.031370233813651886
37000,390,0.4431787878835092,0.030445519835285543
37000,400,0.4212968352317609,0.02963211400518079
37000,410,0.40099639284403177,0.028914318604178774
37000,420,0.38212864873629104,0.028278959079956017
37500,330,0.6340408684988705,0.03928633638585248
37500,340,0.5972928250824135,0.037340624912482016
37500,350,0.5636493924859348,0.03566112741893983
37500,360,0.5327704520025234,0.03420530724465984
37500,370,0.5043612167971294,0.03293835019139048
37500,380,0.4781651702183311,0.0318316029904268
37500,390,0.4539582549607298,0.03086135818162061
37500,400,0.43154406612204377,0.030007902083221315
37500,410,0.410749854726514,0.029254764055787648
37500,420,0.39142318922634356,0.028588120861757244
38000,330,0.6494626866328929,0.04013747659712185
38000,340,0.6118208181169726,0.03809596267969683
38000,350,0.5773590740760984,0.036333770517974415
38000,360,0.5457290630734727,0.03480626904217116
38000,370,0.5166288281542882,0.03347692988144314
38000,380,0.48979561339558203,0.032315688944766836
38000,390,0.46499991173124294,0.03129767147013274
38000,400,0.44204054108951285,0.030402193118568496
38000,410,0.42074055070982774,0.02961197227349919
38000,420,0.4009438014417349,0.02891250507232562
38500,330,0.6652596106731353,0.04103052503249778
38500,340,0.6267021764905228,0.03888849157477221
38500,350,0.5914022171616691,0.03703953304594073
38500,360,0.559002867301732,0.03543682084301698
38500,370,0.5291948254368478,0.03404202802057284
38500,380,0.5017089446142968,0.03282361019955764
38500,390,0.4763101354523633,0.03175546784078989
38500,400,0.4527923225144028,0.03081589815510344
38500,410,0.4309742510547557,0.029986768618104925
38500,420,0.4106959841400478,0.029252861229716782
