altitude,TAS (kts),CL,CD
30000,300,0.20328980380814754,0.023777050006291267
30000,310,0.1903858724529998,0.023558611558476664
30000,320,0.17867267912825466,0.023372728829475335
30000,330,0.16800810232078306,0.02321374906515352
30000,340,0.1582706085011529,0.023077132177158982
30000,350,0.14935577422639415,0.02295920733367492
30000,360,0.14117347486676915,0.022856987850256204
30000,370,0.13364559782858496,0.022768029270215272
30000,380,0.12670417134856843,0.022690319722596476
30000,390,0.12028982473854886,0.022622194603232122
30000,400,0.114350514642083,0.022562269728553096
30000,410,0.10884046604838356,0.02250938862313406
30000,420,0.1037192876572181,0.02246258069718119
30000,430,0.09895122954425783,0.022421027870617775
30000,440,0.09450455755544049,0.02238403779014623
30500,300,0.2070809450956538,0.023843948266333494
30500,310,0.19393636897615862,0.02361728655410124
30500,320,0.18200473690047694,0.023424406142931106
30500,330,0.17114127693855685,0.02325944147690287
30500,340,0.16122218908831176,0.023117681552940375
30500,350,0.1521411025192559,0.022995317348258312
30500,360,0.14380621187198184,0.02288924974263768
30500,370,0.13613794783498062,0.022796942256150955
30500,380,0.12906707104299756,0.02271630727958758
30500,390,0.12253310360689576,0.022645617543620142
30500,400,0.11648303161630529,0.022583436756144583
30500,410,0.11087022640457372,0.02252856490542906
30500,420,0.1056535434161499,0.022479994863164696
30500,430,0.10079656602817112,0.02243687775209207
30500,440,0.09626696827793824,0.022398495154801298
31000,300,0.2109597796260239,0.023913673230654003
31000,310,0.19756899236568318,0.023678440790008828
31000,320,0.18541386881193508,0.023478267018155807
31000,330,0.17434692531076354,0.023307064565708628
31000,340,0.1642420429614373,0.023159944293074303
31000,350,0.1549908585007523,0.023032953147408407
31000,360,0.14649984696251667,0.022922874821881753
31000,370,0.13868794862192954,0.022827076924997233
31000,380,0.13148462719073514,0.022743392909061924
31000,390,0.12482827196806151,0.02267003019174889
31000,400,0.11866487603963848,0.022605498170636618
31000,410,0.11294693733695509,0.022548551458113315
31000,420,0.10763254062552241,0.022498144843464702
31000,430,0.10268458716247783,0.022453397350951323
31000,440,0.09807014548730451,0.022413563397743745
31500,300,0.2149287323636466,0.023986357479804092
31500,310,0.20128601366002283,0.023742190549691143
31500,320,0.18890220617898623,0.02353441387046939
31500,330,0.17762705154020375,0.023356708885871245
31500,340,0.16733205806858295,0.023204000759271107
31500,350,0.157906823777373,0.023072186294804706
31500,360,0.14925606414142126,0.022957927025368485
31500,370,0.1412971943953849,0.022858490577192307
31500,380,0.13395835119617863,0.022771628113773545
31500,390,0.1271767647122169,0.022695478967754663
31500,400,0.12089741195455118,0.022628495921344263
31500,410,0.11507189716078638,0.02256938628519585
31500,420,0.10965751651206454,0.02251706514988653
31500,430,0.10461647329761055,0.022470618078864874
31500,440,0.0999152164913646,0.0224292711709202
32000,300,0.2189903063922138,0.024062140434631493
32000,310,0.20508977705826476,0.023808658116113775
32000,320,0.19247194897753164,0.023592954399158008
32000,330,0.18098372429108575,0.023408469663705682
32000,340,0.17049418317732906,0.0232499354593841
32000,350,0.1608908373493816,0.02311309204634836
32000,360,0.1520766016612596,0.02299447358923201
32000,370,0.14396733071803683,0.02289124346950529
32000,380,0.13648980315304185,0.022801067053684513
32000,390,0.12958006295397267,0.022722012686751687
32000,400,0.12318204734562026,0.02265247412189512
32000,410,0.11724644601605737,0.022591109351446037
32000,420,0.11172974815929275,0.022536792074820775
32000,430,0.10659344280854105,0.02248857296814044
32000,440,0.10180334491373574,0.022445648604531875
32500,300,0.22314708579084483,0.024141168741568707
32500,310,0.20898270261369442,0.023877972109644124
32500,320,0.1961253683708597,0.023654001885100032
32500,330,0.18441907916598743,0.02346244706069852
32500,340,0.1737304301139795,0.023297837280946296
32500,350,0.163944797723886,0.02315574955813121
32500,360,0.15496325402142003,0.023032585234167006
32500,370,0.14670005640011716,0.022925398981555295
32500,380,0.13908059363695316,0.02283176669563551
32500,390,0.13203969573422772,0.02274968269373226
32500,400,0.12552023575735022,0.02267747917213697
32500,410,0.11947196740735296,0.022613762692835895
32500,420,0.11385055397492082,0.02255736379153704
32500,430,0.10861675349473247,0.022507296763008625
32500,440,0.10373573203086793,0.022462727390299142
33000,300,0.227401738629455,0.024223596681463053
33000,310,0.21296728903903173,0.02395026784662728
33000,320,0.19986480934229442,0.02371767550657756
33000,330,0.18793532118136774,0.023518746452744384
33000,340,0.17704287609559646,0.02334779973897663
33000,350,0.167070665115518,0.023200242107112086
33000,360,0.15791787404823268,0.023072336362588278
33000,370,0.1494971254685972,0.02296102379250506
33000,380,0.14173238557237502,0.022863786972161564
33000,390,0.13455724179257694,0.022778543006709517
33000,400,0.12791347797906844,0.02270355988749417
33000,410,0.12174988980756067,0.022637390533730584
33000,420,0.11602129521910969,0.02257882046060575
33000,430,0.11068770403813383,0.02252682601648504
33000,440,0.10571361816451937,0.022480540869813652
33500,300,0.23175702008887458,0.024309586603500424
33500,310,0.21704611662849857,0.024025687719971007
33500,320,0.20369269343748742,0.023784100674472182
33500,330,0.1915347273461773,0.023577478726521703
33500,340,0.18043366615915837,0.02339992123899629
33500,350,0.17027046373876506,0.023246657325338003
33500,360,0.16094237506171852,0.023113805267891793
33500,370,0.15236034921839825,0.022998188068599948
33500,380,0.14444689617727643,0.022897190950055702
33500,390,0.13713433141353526,0.022808650468646205
33500,400,0.130363323799992,0.022730767636263804
33500,410,0.12408168832836831,0.022662039411271987
33500,420,0.1182433775963646,0.022601204342852045
33500,430,0.11280763552189675,0.022547199193177766
33500,440,0.10773828413222476,0.022499124128313508
34000,300,0.23621577571149718,0.024399309385884325
34000,310,0.2212218503021306,0.024104381603197226
34000,320,0.20761152162143306,0.02385340938812857
34000,330,0.19521964934834476,0.0236387605941427
34000,340,0.1839050156923421,0.023454305356262424
34000,350,0.17354628419620205,0.023295087448607282
34000,360,0.1640387331329842,0.0231570743566186
34000,370,0.15529159834941383,0.023036965662270373
34000,380,0.14722589898916033,0.022932045009326156
34000,390,0.13977264834999836,0.022840064908751206
34000,400,0.1328713738377172,0.022759156485377463
34000,410,0.1264688864606469,0.022687758307431628
34000,420,0.12051825291402918,0.022624559919274343
34000,430,0.11497793301262706,0.022568456778433815
34000,440,0.10981105275844395,0.022518514094240463
34500,300,0.24078094478854004,0.02449294492505026
34500,310,0.2254972427780292,0.024186507279521218
34500,320,0.21162387725555276,0.02392574061326095
34500,330,0.1989925163541653,0.023702714927293398
34500,340,0.18745921307066266,0.0235110611322981
34500,350,0.1769002859670907,0.02334562958053525
34500,360,0.16720898943648618,0.02320223038437995
34500,370,0.15829280519334263,0.02307743432356703
34500,380,0.15007122597623687,0.02296841903323846
34500,390,0.1424739318275385,0.022872849313767117
34500,400,0.13543928144355377,0.022788783355191685
34500,410,0.12891305788797502,0.02271459878924322
34500,420,0.12284742081047961,0.022648934018390843
34500,430,0.11720002720913252,0.022590641394246318
34500,440,0.111933290449218,0.022538749644963926
35000,300,0.24545556389030154,0.02459068265532235
35000,310,0.22987513787853425,0.02427223089763103
35000,320,0.21573242920046032,0.024001240683375457
35000,330,0.20285583792586906,0.023769471112166075
35000,340,0.1910986224059441,0.02357030338987433
35000,350,0.1803347000010379,0.023398385973051966
35000,360,0.17045525270159836,0.023249364706463327
35000,370,0.1613659660345299,0.02311967592475305
