altitude,TAS (kts),CL,CD
30000,330,0.5424430347352345,0.03206402228324361
30000,340,0.5110038623068083,0.030706122838991497
30000,350,0.48222078761360865,0.029534012408274253
30000,360,0.4558028277983569,0.028518004930988123
30000,370,0.43149778292671326,0.027633803803497427
30000,380,0.4090861944783037,0.02686141209502236
30000,390,0.3883763739820319,0.026184284522564674
30000,400,0.3692002905166691,0.02558866303522131
30000,410,0.3514101515923084,0.025063052880327296
30000,420,0.33487554695389476,0.024597806909854476
30500,330,0.5525590275031045,0.03251818063388224
30500,340,0.5205335475353641,0.031109162138499798
30500,350,0.49121369873541304,0.02989292681083833
30500,360,0.4643030717213588,0.028838671038805462
30500,370,0.439544763295019,0.027921183556543046
30500,380,0.41671522226515306,0.02711971463516733
30500,390,0.3956191853720453,0.02641709613321207
30500,400,0.3760854880943006,0.02579905206856026
30500,410,0.3579635817673295,0.02525365496073952
30500,420,0.34112062412181454,0.024770894488251507
31000,330,0.5629090142435877,0.032991528890984195
31000,340,0.5302836648021343,0.031529231371395273
31000,350,0.5004146257234836,0.03026700670315694
31000,360,0.4729999355796816,0.0291728865013937
31000,370,0.4477778791170689,0.028220706190089796
31000,380,0.4245207178055868,0.027388931433692996
31000,390,0.40302953090813104,0.026659744914145155
31000,400,0.38312994781954207,0.026018330833564408
31000,410,0.3646685999472143,0.02545231069928592
31000,420,0.3475101567524191,0.024951295670889728
31500,330,0.5734994655470312,0.03348496711629195
31500,340,0.5402603096719005,0.031967129290477896
31500,350,0.5098293208005854,0.030656963390267435
31500,360,0.4818988564666028,0.0295212868224166
31500,370,0.45620227756078685,0.02853294124011762
31500,380,0.4325075609284745,0.02766957440067222
31500,390,0.41061204337982715,0.026912692256910842
31500,400,0.39033807373794815,0.026246916284187526
31500,410,0.37152939796592327,0.025659397835669777
31500,420,0.3540481394448509,0.025139353486818786
32000,330,0.5843370604513828,0.033999441808895484
32000,340,0.5504697740757404,0.032423695859010865
32000,350,0.5194637214951479,0.03106354487593313
32000,360,0.4910054466292872,0.02988454029340466
32000,370,0.46482327160814907,0.02885848762696863
32000,380,0.44068078866451255,0.02796218185741705
32000,390,0.41837150482022095,0.027176423357866984
32000,400,0.3977144117697225,0.026485246886502792
32000,410,0.37855030269575013,0.025875313598512806
32000,420,0.3607386954827415,0.025335428663162195
32500,330,0.595428694116622,0.034535948520874465
32500,340,0.5609185535406587,0.03289981457195194
32500,350,0.5293239574636748,0.031487537929745256
32500,360,0.5003254999174395,0.030263349840573064
32500,370,0.473646346159972,0.029197975310458372
32500,380,0.4490456010339346,0.02826732002412503
32500,390,0.4263128520006585,0.02745144855901835
32500,400,0.40526365493312594,0.02673378383039999
32500,410,0.3857357810190371,0.026100475803093028
32500,420,0.3675860815719963,0.02553990062198363
33000,330,0.6067814858173737,0.03509553463276033
33000,340,0.571613354718962,0.0333964149190157
33000,350,0.5394163575960165,0.03192977028052829
33000,360,0.5098649984993212,0.030658454984483226
33000,370,0.48267716439380587,0.02955206704611705
33000,380,0.457607367074183,0.02858558459842321
33000,390,0.4344411821532677,0.02773830477077988
33000,400,0.4129906487844501,0.02699301231531944
33000,410,0.39309044500602025,0.02633532401615627
33000,420,0.37459469277501134,0.025753168538063413
33500,330,0.618402787268396,0.03567930229935416
33500,340,0.5825611032312139,0.033914474998916734
33500,350,0.5497474574165581,0.032391112944374786
33500,360,0.5196301198574719,0.031070633919986712
33500,370,0.49192157438662054,0.02992146024922747
33500,380,0.46637163111861735,0.02891760243080183
33500,390,0.4427617589318103,0.02803755698206801
33500,400,0.4209003970845522,0.027263442914903284
33500,410,0.4006190573083185,0.026580320792222837
33500,420,0.38176906765038743,0.02597565246160049
34000,330,0.6303001912983628,0.036288411577180865
34000,340,0.5937689518372985,0.03445502429480453
34000,350,0.5603240067950345,0.03287248269622452
34000,360,0.5296272440770966,0.03150070572441672
34000,370,0.5013856160145488,0.03030688897379783
34000,380,0.47534411933789283,0.029264033303353795
34000,390,0.4512800186219048,0.028349799863502858
34000,400,0.42899806770244825,0.02754561302578981
34000,410,0.4083265367780589,0.026835952986123703
34000,420,0.38911389360766274,0.026207794510139135
34500,330,0.642481540888171,0.03692408374566358
34500,340,0.6052442889508808,0.03501914662161395
34500,350,0.5711529779814029,0.03337484469453802
34500,360,0.539862961440755,0.03194953270255886
34500,370,0.5110755281425993,0.030709126014115712
34500,380,0.4845307465562454,0.029625571818692454
34500,390,0.46000157661224084,0.02867565946991564
34500,400,0.43728899876701144,0.02784008840614887
34500,410,0.4162179643231518,0.027102733146837647
34500,420,0.3966340124870852,0.026450060134325815
35000,330,0.6549549385908117,0.03758760483496425
35000,340,0.6169947475133165,0.03560798325681987
35000,350,0.5822415739799135,0.03389921526929489
35000,360,0.5503440803436683,0.032418022877542044
35000,370,0.5209977561178919,0.031128985137075016
35000,380,0.49393762335553604,0.030002949406410732
35000,390,0.4689322341389836,0.02901579504879772
35000,400,0.44577870507837125,0.02814746480995533
35000,410,0.4242985890097525,0.027381200998062342
35000,420,0.4043344263749399,0.02670293946243002
35500,330,0.6677287563507495,0.038280329374366456
35500,340,0.6290282142439154,0.03622273626691046
35500,350,0.5935972372783399,0.03444666488428359
35500,360,0.5610776355447272,0.032907132637446934
35500,370,0.5311589595806914,0.031567323454056544
35500,380,0.5035710634805861,0.03039693645497371
35500,390,0.4780779853162172,0.029370900961804544
35500,400,0.454472884791229,0.02846836972342893
35500,410,0.4325738344235373,0.02767192501134316
35500,420,0.41222030366551377,0.026966948728917625
36000,330,0.6808116457416535,0.039003684376075806
36000,340,0.6413528392843086,0.036864672042779816
36000,350,0.6052276589491109,0.03501832128543787
36000,360,0.5720708967690284,0.033417869548134936
36000,370,0.5415660206082256,0.03202504394177459
36000,380,0.5134375915600145,0.03080834457750488
36000,390,0.48744502446591775,0.029741708726939747
36000,400,0.463377426382913,0.028803464210531333
36000,410,0.44104930530199926,0.027975504078002422
36000,420,0.4202969853813269,0.027242631792745886
36500,330,0.6968017397107513,0.03990683924302112
36500,340,0.6564161717517372,0.03766616981202545
36500,350,0.6194425261591906,0.03573207077179366
36500,360,0.5855070173958399,0.034055557164210666
36500,370,0.5542856789956234,0.03259653717152521
36500,380,0.5254966028705045,0.03132201386476607
36500,390,0.4988935532840292,0.030204685877842946
36500,400,0.47426068409063027,0.02922185105543862
36500,410,0.4514081466656801,0.028354541909921913
36500,420,0.43016842094388225,0.027586839685471477
37000,330,0.713750094681514,0.04088700710397268
37000,340,0.6723822258721184,0.03853601216441852
37000,350,0.6345092678434032,0.03650668245014604
37000,360,0.5997483434476613,0.03474762109419677
37000,370,0.5677676063609707,0.03321676224814751
37000,380,0.5382782916261558,0.03187948428867489
37000,390,0.5110281742985988,0.030707141592005327
37000,400,0.4857961581926055,0.029675914199902495
37000,410,0.4623877769828487,0.028765900708428768
37000,420,0.44063143600236326,0.027960398558133696
37500,330,0.731110685615313,0.04191543621945661
37500,340,0.6887366233867438,0.03944868359216111
37500,350,0.6499424788857764,0.03731943426026771
37500,360,0.614336062218423,0.03547376069102356
37500,370,0.5815774555405961,0.03386752580851604
37500,380,0.5513708702458975,0.03246440329878445
37500,390,0.5234579465056384,0.03123433709215589
37500,400,0.4976122103969225,0.03015233438938055
37500,410,0.4736344655770826,0.029197513886282035
37500,420,0.45134894367067796,0.028352350627058112
38000,330,0.7488935393548427,0.04299450286478436
38000,340,0.7054888099977713,0.04040629290231493
38000,350,0.6657510729448359,0.03817220413621521
38000,360,0.6292785990412222,0.03623565376366261
38000,370,0.5957232025985565,0.03455033149868551
38000,380,0.5647819005245317,0.033078122401564186
38000,390,0.5361900488871952,0.031787490509551763
38000,400,0.50971566522339,0.030652212434339042
38000,410,0.48515470812458283,0.029650378723433415
38000,420,0.46232713398946923,0.028763601531739583
38500,330,0.7671089266263578,0.04412670031770355
38500,340,0.7226484611557988,0.041411052734844606
38500,350,0.6819441804866153,0.039066962477282016
38500,360,0.6445845841790925,0.03703506073261468
38500,370,0.6102130176012446,0.03526675700085069
38500,380,0.5785191281828973,0.03372205964861348
38500,390,0.5492318350401734,0.032367879953485446
38500,400,0.5221135131850648,0.031176703346668486
38500,410,0.4969551582963138,0.03012554160364989
38500,420,0.47357234756014943,0.02919510150331887
39000,330,0.7857673679716695,0.04531464461933413
39000,340,0.7402254876480521,0.04246528467511566
39000,350,0.6985311540580803,0.04000577670077826
39000,360,0.6602628578095281,0.03787382869751501
39000,370,0.6250552693361201,0.036018457678718835
39000,380,0.5925904873415154,0.03439770291319384
39000,390,0.5625908374235031,0.032976846464468024
39000,400,0.5348129148257177,0.0317270190084396
39000,410,0.509042631600921,0.03062410043227483
39000,420,0.48509107920700006,0.029647847560174693
39500,330,0.8048796398244265,0.04656108061875984
39500,340,0.7582300413224917,0.043571424618120205
39500,350,0.7155215736888169,0.040990816018978964
39500,360,0.6763224751302475,0.03875389570501847
39500,370,0.6402585301452159,0.036807170402372205
39500,380,0.6070041051030475,0.035106613328090015
39500,390,0.5762747717086131,0.03361579711282038
39500,400,0.5478212048555003,0.03230443097206262
39500,410,0.5214241093211186,0.031147207173034198
39500,420,0.49688998172834486,0.030122885811621793
40000,330,0.8244567807341874,0.047868888315241775
40000,340,0.7766725209511507,0.04473202839682524
40000,350,0.7329252524241064,0.04202435645127855
40000,360,0.6927727115891439,0.03967729522682558
40000,370,0.6558315808762092,0.0376347175614581
40000,380,0.6217683062462122,0.03585042889274362
40000,390,0.5902915412357201,0.03428620824983212
40000,400,0.5611458963872065,0.03291027339832026
40000,410,0.534106742545824,0.03169607050974936
40000,420,0.5089758697389626,0.03062131387503787
40500,330,0.8445100977418858,0.04924108951270839
40500,340,0.7955635782360845,0.0459497776876479
40500,350,0.750752241992583,0.04310878608313248
40500,360,0.7096230682414459,0.040646160858196556
40500,370,0.6717834159539181,0.03850301127597931
40500,380,0.6368916180338738,0.03663086825799404
40500,390,0.6046492415785101,0.03498962891900016
40500,400,0.5747946852755712,0.03354594613906276
40500,410,0.5470978563003651,0.03227195863910665
40500,420,0.5213557236059602,0.031144283412004467
