Altitude (ft),TAS (kts),Takeoff Thrust (N)
0,110,163967.18011311674
0,120,161446.93210574405
0,130,158988.9581938121
0,140,156593.25837732095
0,150,154259.8326562706
0,160,151988.681030661
500,110,162714.43700153322
500,120,160243.2475178365
500,130,157833.39526238787
500,140,155484.8802351873
500,150,153197.70243623486
500,160,150971.86186553046
1000,110,161406.27956330148
1000,120,158981.57815259477
1000,130,156617.2895186009
1000,140,154313.41366132
1000,150,152069.95058075196
1000,160,149886.90027689686
1500,110,160046.74637191254
1500,120,157666.14329812478
1500,130,155345.0405885903
1500,140,153083.43824330915
1500,150,150881.33626228137
1500,160,148738.73464550692
2000,110,158639.69339229955
2000,120,156300.96919569685
2000,130,154020.84463718478
2000,140,151799.31971676345
2000,150,149636.39443443282
2000,160,147532.0687901929
2500,110,157188.80109741158
2500,120,154889.89665095787
2500,130,152648.70247245682
2500,140,150465.21856190838
2500,150,148339.44491931252
2500,160,146271.38154466928
3000,110,155697.58133073212
3000,120,153436.5883711184
3000,130,151232.42735633717
3000,140,149085.09828638835
3000,150,146994.60116127194
3000,160,144960.935980988
3500,110,154169.3839230846
3500,120,151944.53603715793
3500,130,149775.65253103463
3500,140,147662.73340471467
3500,150,145605.7786581981
3500,160,143604.7882914849
4000,110,152607.40307181337
4000,120,150417.06711981868
4000,130,148281.838470709
4000,140,146201.7171244843
4000,150,144176.7030811446
4000,160,142206.79634068988
4500,110,151014.68349019205
4500,120,148857.3514478989
4500,130,146754.27986756602
4500,140,144705.4687491935
4500,150,142710.9180927813
4500,160,140770.62789832943
5000,110,149394.12633466886
5000,120,147268.4075370937
5000,130,145196.11236126008
5000,140,143177.24080716798
5000,150,141211.7928748175
5000,160,139299.76856420853
5500,110,147748.4949173373
5500,120,145653.10868739153
5500,130,143610.31902022855
5500,140,141620.12591584833
5500,150,139682.52937425085
5500,160,137797.52939543617
6000,110,146080.4202107884
6000,120,144014.18885678204
6000,130,141999.73658331326
6000,140,140037.06339038207
6000,150,138126.16927798843
6000,160,136267.05424613235
6500,110,144392.40615229312
6500,120,142354.24831880388
6500,130,140367.06146977496
6500,140,138430.84560520627
6500,150,136545.6007250979
6500,160,134711.3268294498
7000,110,142686.83475404413
7000,120,140675.75911122496
7000,130,138714.85556555464
7000,140,136804.1241170331
7000,150,134943.56476566035
7000,160,133133.17751143637
7500,110,140965.97102598558
7500,120,138981.07028292777
7500,130,137045.55179339758
7500,140,135159.41555739506
7500,150,133322.66157492014
7500,160,131535.2898459729
8000,110,139231.96771755838
8000,120,137272.4129458541
8000,130,135361.45947421942
8000,140,133499.1073026544
8000,150,131685.35643115896
8000,160,129920.20685973315
8500,110,137486.8698844938
8500,120,135551.90513865306
8500,130,133664.76948686692
8500,140,131825.46292913542
8500,150,130033.98546545849
8500,160,128290.33709583618
9000,110,135732.61928659896
9000,120,133821.5565084688
9000,130,131957.55923320274
9000,140,130140.6274608007
9000,150,128370.7611912627
9000,160,126647.96042458875
9500,110,133971.05862229588
9500,120,132083.2728171082
9500,130,130241.79741523025
9500,140,128446.63241666196
9500,150,126697.77782140339
9500,160,124995.23362945448
10000,110,132203.93560549302
10000,120,130338.86027762952
10000,130,128519.34863076132
10000,140,126745.40066488838
10000,150,125017.01638001077
10000,160,123334.19577612841
10500,110,130432.90689020022
10500,120,128590.02972721022
10500,130,126791.97779393017
10500,140,125038.7510903601
10500,150,123330.34961650004
10500,160,121666.77337234991
11000,110,128659.54184812281
11000,120,126838.40064196271
11000,130,125061.35438665452
11000,140,123328.40308219833
11000,150,121639.54672859411
11000,160,119994.78532584182
11500,110,126885.32620431203
11500,120,125085.50499919333
11500,130,123329.05654695601
11500,140,121615.9808476001
11500,150,119946.2779011256
11500,160,118319.94770753253
12000,110,125111.66553578443
12000,120,123332.79099242206
12000,130,121596.57499986103
12000,140,119903.01755810126
12000,150,118252.1186671428
12000,160,116643.87832698571
12500,110,123339.88863787238
12500,120,121581.62660431642
12500,130,119865.31683642564
12500,140,118190.95933420007
12500,150,116558.55409763969
12500,160,114968.1011267445
13000,110,121571.25076291311
13000,120,119833.30304252499
13000,130,118136.60914624743
13000,140,116481.16907408049
13000,150,114866.98282602413
13000,160,113294.05040207837
13500,110,119806.9367357405
13500,120,118089.0380432408
13500,130,116411.70250865829
13500,140,114774.93013199294
13500,150,113178.72091324478
13500,160,111623.07485241379
14000,110,118048.06395029832
14000,120,116349.9790471664
14000,130,114691.77434762302
14000,140,113073.44985166824
14000,150,111495.00555930205
14000,160,109956.44147052443
14500,110,116295.6852515597
14500,120,114617.2062524064
14500,130,112977.93215521004
14500,140,111377.86295997057
14500,150,109816.99866668804
14500,160,108295.33927536244
