Altitude (ft),TAS (kts),Takeoff Thrust (N)
0,110,175458.16432942354
0,120,172800.9821573831
0,130,170209.1458970073
0,140,167682.65554829617
0,150,165221.5111112496
0,160,162825.71258586773
500,110,174112.65268876642
500,120,171507.18222257437
500,130,168966.0745876765
500,140,166489.32978407276
500,150,164076.9478117632
500,160,161728.92867074788
1000,110,172708.40084261738
1000,120,170151.93426061713
1000,130,167658.8604576296
1000,140,165229.17943365485
1000,150,162862.89118869283
1000,160,160559.9957227436
1500,110,171249.69115642185
1500,120,168739.71098713853
1500,130,166292.16617751782
1500,140,163907.0567275598
1500,150,161584.3826372644
1500,160,159324.14390663168
2000,110,169740.61272235677
2000,120,167274.7808495663
2000,130,164870.43917983948
2000,140,162527.5877131762
2000,150,160246.22644957653
2000,160,158026.35538904037
2500,110,168185.06887755718
2500,120,165761.21606637983
2500,130,163397.92021785412
2500,140,161095.1813319801
2500,150,158852.99940875772
2500,160,156671.37444818698
3000,110,166586.78445431674
3000,120,164202.90037729873
3000,130,161878.6516144585
3000,140,159614.03816579605
3000,150,157409.0600313114
3000,160,155263.71721100455
3500,110,164949.31277105593
3500,120,162603.53651394387
3500,130,160316.48521129496
3500,140,158088.15886310922
3500,150,155918.5574693867
3500,160,153807.6810301274
4000,110,163276.04237258455
4000,120,160966.65340021276
4000,130,158715.09002805097
4000,140,156521.35225609917
4000,150,154385.44008435737
4000,160,152307.35351282562
4500,110,161570.20352793467
4500,120,159295.6130913415
4500,130,157077.95964161342
4500,140,154917.24317875024
4500,150,152813.46370275208
4500,160,150766.62121361893
5000,110,159834.8744937862
5000,120,157593.6174603478
5000,130,155408.41929444365
5000,140,153279.2799960737
5000,150,151206.19956523794
5000,160,149189.17800193644
5500,110,158072.98755127352
5500,120,155863.71464029513
5500,130,153709.63274126383
5500,140,151610.74185417962
5500,150,149567.0419790425
5500,160,147578.53311585245
6000,110,156287.3348237169
6000,120,154108.805230555
6000,130,151984.6088428606
6000,140,149914.7456606336
6000,150,147899.21568387406
6000,160,145938.01891258202
6500,110,154480.5738826038
6500,120,152331.64827500214
6500,130,150236.207915551
6500,140,148194.25280425037
6500,150,146205.7829411003
6500,160,144270.7983261008
7000,110,152655.2331489143
7000,120,150534.86701983027
7000,130,148467.14784458966
7000,140,146452.0756231926
7000,150,144489.65035563897
7000,160,142579.8720419288
7500,110,150813.71709667312
7500,120,148720.95445844464
7500,130,146680.00996954413
7500,140,144690.88362997168
7500,150,142753.57543972725
7500,160,140868.0853988108
8000,110,148958.3112653991
8000,120,146892.27867065638
8000,130,144877.2447494176
8000,140,142913.20950168272
8000,150,141000.17292745176
8000,160,139138.1350267247
8500,110,147091.1870879172
8500,120,145051.0879631826
8500,130,143061.17721505894
8500,140,141121.45484354632
8500,150,139231.92084864472
8500,160,137392.57523035412
9000,110,145214.40653980046
9000,120,143199.515818238
9000,130,141234.01221616456
9000,140,139317.89573358014
9000,150,137451.16637048477
9000,160,135633.82412687843
9500,110,143329.9266165144
9500,120,141339.58565679623
9500,130,139397.8394699513
9500,140,137504.68805597955
9500,150,135660.13141488098
9500,160,133864.16954665564
10000,110,141439.60364414804
10000,120,139473.2154228901
10000,130,137554.6384183565
10000,140,135683.87263054732
10000,150,133860.9180594625
10000,160,132085.77470510206
10500,110,139545.19742943492
10500,120,137602.22199512593
10500,130,135706.28290040954
10500,140,133857.38014528577
10500,150,132055.5137297546
10500,160,130300.68365381604
11000,110,137648.37525458483
11000,120,135728.32543138938
11000,130,133854.54564620627
11000,140,132027.03589903552
11000,150,130245.79618987704
11000,160,128510.82651873092
11500,110,135750.71572228
11500,120,133853.15305253598
11500,130,132001.10259872026
11500,140,130194.56436083284
11500,150,128433.5383388737
11500,160,126718.02453284286
12000,110,133853.712456015
12000,120,131978.2433706727
12000,130,130147.53706948116
12000,140,128361.59355244045
12000,150,126620.41281955059
12000,160,124923.99487081156
12500,110,131958.77766080177
12500,120,130105.04986746394
12500,130,128295.34373396533
12500,140,126529.65926030593
12500,150,124807.99644648573
12500,160,123130.35529250474
13000,110,130067.24554909837
13000,120,128234.94462771919
13000,130,126445.93247235224
13000,140,124700.20908299754
13000,150,122997.77445965503
13000,160,121338.62860232475
13500,110,128180.3756366684
13500,120,126369.22183335382
13500,130,124600.6320611236
13500,140,122874.6063199778
13500,150,121191.14460991637
13500,160,119550.2469309394
14000,110,126299.35591292527
14000,120,124509.10112264994
14000,130,122760.69372080188
14000,140,121054.13370738109
14000,150,119389.42108238752
14000,160,117766.55584582125
14500,110,124425.3058901741
14500,120,122655.73081958987
14500,130,120927.29452495993
14500,140,119239.99700628435
14500,150,117593.83826356311
14500,160,115988.8182967962
