Altitude (ft),TAS (kts),Takeoff Thrust (N)
0,110,188230.92898560024
0,120,185519.59747354104
0,130,182874.09054739654
0,140,180294.40820716662
0,150,177780.55045285143
0,160,175332.5172844509
500,110,186770.21538416602
500,120,184111.61560980626
500,130,181517.85013969458
500,140,178988.91897383102
500,150,176524.8221122156
500,160,174125.55955484827
1000,110,185248.41596875314
1000,120,182639.791197013
1000,130,180095.02357137727
1000,140,177614.11309184594
1000,150,175197.05975841905
1000,160,172843.8635710966
1500,110,183669.9890925029
1500,120,181108.77631599508
1500,130,178610.45625291855
1500,140,176175.02890327328
1500,150,173802.49426705926
1500,160,171492.8523442765
2000,110,182039.19314277754
2000,120,179523.01189153414
2000,130,177068.7712736274
2000,140,174676.47128905737
2000,150,172346.11193782394
2000,160,170077.69321992723
2500,110,180360.0942709094
2500,120,177886.73595241038
2500,130,175474.37819062948
2500,140,173123.02098556672
2500,150,170832.66433722203
2500,160,168603.30824559552
3000,110,178636.57384767206
3000,120,176203.991595765
3000,130,173831.48150080928
3000,140,171519.04356280487
3000,150,169266.6777817518
3000,160,167074.38415765
3500,110,176872.3356534462
3500,120,174478.63466549892
3500,130,172144.08880618826
3500,140,169868.6980755142
3500,150,167652.46247347674
3500,160,165495.38200007592
4000,110,175070.91281178044
4000,120,172714.34115413824
4000,130,170416.018682897
4000,140,168175.94539805668
4000,150,165994.12129961725
4000,160,163870.54638757877
4500,110,173235.67447479334
4500,120,170914.61433732003
4500,130,168650.9082635998
4500,140,166444.55625363262
4500,150,164295.55830741857
4500,160,162203.9144249576
5000,110,171369.83226860253
5000,120,169082.79164976865
5000,130,166852.22054292535
5000,140,164678.11894807278
5000,150,162560.48686521078
5000,160,160499.3242943395
5500,110,169476.44650672938
5500,120,167222.05131137578
5500,130,165023.25141517833
5500,140,162880.04681813702
5500,150,160792.43752025196
5500,160,158760.42352152304
6000,110,167558.43217917994
6000,120,165335.41871172676
6000,130,163167.1364533149
6000,140,161053.5854039443
6000,150,158994.76556361507
6000,160,156990.6769323271
6500,110,165618.56472467651
6500,120,163425.77256117077
6500,130,161286.85743790166
6500,140,159201.81935486916
6500,150,157170.65831207327
6500,160,155193.37430951392
7000,110,163659.48559328262
7000,120,161495.85081628035
7000,130,159385.24864450368
7000,140,157327.67907795258
7000,150,155323.14211662704
7000,160,153371.63776052705
7500,110,161683.7076064466
7500,120,159548.25638730914
7500,130,157465.00289769282
7500,140,155433.9471375976
7500,150,153455.08910702352
7500,160,151528.42880597053
8000,110,159693.62012127318
8000,120,157585.46263502253
8000,130,155528.6773996148
8000,140,153523.26441504993
8000,150,151569.22368132792
8000,160,149666.5551984488
8500,110,157691.4940056237
8500,120,155609.818664049
8500,130,153578.69934080803
8500,140,151598.1360359007
8500,150,149668.1287493271
8500,160,147788.67748108722
9000,110,155679.4864304435
9000,120,153623.55441967954
9000,130,151617.3713007295
9000,140,149660.93707359332
9000,150,147754.25173827106
9000,160,145897.31529476267
9500,110,153659.64548551672
9500,120,151628.7855948287
9500,130,149646.87644521243
9500,140,147713.91803666795
9500,150,145829.9103691953
9500,160,143994.85344279438
10000,110,151633.91462465725
10000,120,149627.51835366068
10000,130,147669.28352785305
10000,140,145759.21014723438
10000,150,143897.29821180465
10000,160,142083.5477215639
10500,110,149604.13694615822
10500,120,147621.6538781836
10500,130,145686.551702108
10500,140,143798.8304179314
10500,150,141958.49002565385
10500,160,140165.53052527533
11000,110,147572.05931414018
11000,120,145612.99274391483
11000,130,143700.53515066803
11000,140,141834.68653439975
11000,150,140015.44689511
11000,160,138242.81623279882
11500,110,145539.33632626358
11500,120,143603.23913053278
11500,130,141712.98753847057
11500,140,139868.58155007692
11500,150,138070.02116535188
11500,160,136317.3063842954
12000,110,143507.5341330968
12000,120,141594.00487323914
12000,130,139725.56629550766
12000,140,137902.21839990234
12000,150,136123.96118642323
12000,160,134390.7946550703
12500,110,141478.1341142678
12500,120,139586.8133603805
12500,130,137739.83673539702
12500,140,135937.20423931733
12500,150,134178.91587214143
12500,160,132464.97163386934
13000,110,139452.536416363
13000,120,137583.10328269727
13000,130,135757.27601548785
13000,140,133975.0546147347
13000,150,132236.4390804378
13000,160,130541.42941259716
13500,110,137432.06335738164
13500,120,135584.23223940074
13500,130,133779.27694409364
13500,140,132017.1974714603
13500,150,130297.99382150074
13500,160,128621.66599421501
14000,110,135417.96270239833
14000,120,133591.48020610985
14000,130,131807.15164026115
14000,140,130064.9770048522
14000,150,128364.95629988304
14000,160,126707.08952535367
14500,110,133411.41081494253
14500,120,131606.05286952222
14500,130,129842.1350513149
14500,140,128119.65736032056
14500,150,126438.61979653918
14500,160,124799.02235997083
