Altitude (ft),TAS (kts),Takeoff Thrust (N)
0,110,197625.46583153607
0,120,194602.51013067184
0,130,191654.1304850268
0,140,188780.3268946009
0,150,185981.0993593941
0,160,183256.44787940645
500,110,196113.72807567893
500,120,193149.6117423099
500,130,190258.94952318282
500,140,187441.74141829764
500,150,184697.98742765436
500,160,182027.68755125298
1000,110,194535.40695486136
1000,120,191627.04769639732
1000,130,188791.03547951122
1000,140,186027.3703042031
1000,150,183336.05217047295
1000,160,180717.0810783207
1500,110,192895.3555547362
1500,120,190039.8877695206
1500,130,187255.67437055838
1500,140,184542.7153578495
1500,150,181901.01073139397
1500,160,179330.56049119186
2000,110,191198.20765593546
2000,120,188392.96991690007
2000,130,185657.9079036644
2000,140,182993.02161622833
2000,150,180398.31105459193
2000,160,177873.77621875523
2500,110,189448.3862756042
2500,120,186690.90940703845
2500,130,184002.54320317335
2500,140,181383.28766400897
2500,150,178833.14278954524
2500,160,176352.10857978216
3000,110,187650.1119041451
3000,120,184938.1076276341
3000,130,182294.16218403002
3000,140,179718.2755733329
3000,150,177210.44779554274
3000,160,174770.6788506595
3500,110,185807.4104471796
3500,120,183138.76057360668
3500,130,180537.13058444927
3500,140,178002.52047970734
3500,150,175534.93025938093
3500,160,173134.35992347
4000,110,183924.1208824268
4000,120,181296.86702775228
4000,130,178735.6066689903
4000,140,176240.33980614087
4000,150,173811.06643920403
4000,160,171447.7865681797
4500,110,182003.90264091705
4500,120,179416.2364442362
4500,130,176893.54961303194
4500,140,174435.84214730418
4500,150,172043.11404705307
4500,160,169715.36531227845
5000,110,180050.24272166754
5000,120,177500.49654481665
5000,130,175014.7275793055
5000,140,172592.93582513405
5000,150,170235.12128230234
5000,160,167941.28395081038
5500,110,178066.4625486808
5500,120,175553.1006374024
5500,130,173102.7254968295
5500,140,170715.33712696217
5500,150,168390.9355278004
5500,160,166129.52069934423
6000,110,176055.7245788504
6000,120,173577.33466624774
6000,130,171160.9525522656
6000,140,168806.57823690397
6000,150,166514.21172016286
6000,160,164283.85300204222
6500,110,174021.03866910623
6500,120,171576.324002814
6500,130,169192.64940341935
6500,140,166870.0148709221
6500,150,164608.42040532234
6500,160,162407.86600662005
7000,110,171965.26821087184
7000,120,169553.03998604338
7000,130,167200.89512430428
7000,140,164908.83362565454
7000,150,162676.85549009414
7000,160,160504.96071762306
7500,110,169891.13603966433
7500,120,167510.30622052867
7500,130,165188.6138909038
7500,140,162926.05905078968
7500,150,160722.6417001864
7500,160,158578.3618390939
8000,110,167801.23012742508
8000,120,165450.80464080037
8000,130,163158.58141648167
8000,140,160924.56045446897
8000,150,158748.7417547623
8000,160,156631.12531736164
8500,110,165698.00906493783
8500,120,163377.08134969804
8500,130,161113.4311450195
8500,140,158907.0584509021
8500,150,156757.963267346
8500,160,154666.14559435102
9000,110,163583.80734146354
9000,120,161291.55223854823
9000,130,159055.66021109256
9000,140,156876.13125909647
9000,150,154752.96538255995
9000,160,152686.16258148302
9500,110,161460.8404285016
9500,120,159196.50839663116
9500,130,156987.63517423838
9500,140,154834.22076132332
9500,150,152736.26515788588
9500,160,150693.76836392612
10000,110,159331.20967437015
10000,120,157094.121317184
10000,130,154911.59753561855
10000,140,152783.63832967388
10000,150,150710.24369934993
10000,160,148691.4136446468
10500,110,157196.9070160949
10500,120,154986.44790696577
10500,130,152829.6690445331
10500,140,150726.57042879696
10500,150,148677.1520597573
10500,160,146681.41393741415
11000,110,155059.81951488656
11000,120,152875.43530618356
11000,130,150743.85680210538
11000,140,148665.08400265197
11000,150,146639.1169078233
11000,160,144665.9555176195
11500,110,152921.73372129787
11500,120,150762.92552537206
11500,130,148656.0581692288
11500,140,146601.13165286803
11500,150,144598.14597628976
11500,160,142647.101139494
12000,110,150784.33987595097
12000,120,148650.65990560298
12000,130,146568.06548563688
12000,140,144536.5566160527
12000,150,142556.1332968504
12000,160,140626.79552803002
12500,110,148649.23595154882
12500,120,146540.2834082071
12500,130,144481.57060674636
12500,140,142473.09754716657
12500,150,140514.86422946776
12500,160,138606.87065364994
13000,110,146517.93154169642
13000,120,144433.34873998832
13000,130,142398.16926470504
13000,140,140412.39311584661
13000,150,138476.02029341305
13000,160,136589.05079740428
13500,110,144391.851601887
13500,120,142331.32031972305
13500,130,140319.3652598756
13500,140,138355.98642234478
13500,150,136441.18380713044
13500,160,134574.95741423272
14000,110,142272.34004783328
14000,120,140235.57809154887
14000,130,138246.57448878087
14000,140,136305.3292395292
14000,150,134411.84234379392
14000,160,132566.11380157497
14500,110,140160.66321616343
14500,120,138147.421190672
14500,130,136181.12881434857
14500,140,134261.78608719315
14500,150,132389.39300920579
14500,160,130563.94958038644
