Altitude (ft),TAS (kts),Takeoff Thrust (N)
0,110,186744.88296873673
0,120,184058.37176847327
0,130,181437.06499443462
0,140,178880.96264662076
0,150,176390.06472503167
0,160,173964.37122966736
500,110,185295.28194855407
500,120,182661.01906824321
500,130,180090.97966232934
500,140,177585.1637308124
500,150,175143.5712736925
500,160,172766.2022909695
1000,110,183785.12425199352
1000,120,181200.37832170445
1000,130,178678.88791386544
1000,140,176220.6530284765
1000,150,173825.67366553762
1000,160,171493.94982504877
1500,110,182218.82973930545
1500,120,179681.06133302243
1500,130,177205.59310282127
1500,140,174792.42504870213
1500,150,172441.55717066495
1500,160,170152.98946870968
2000,110,180600.6200626784
2000,120,178107.47061105844
2000,130,175675.67822535228
2000,140,173305.24290555995
2000,150,170996.16465168152
2000,160,168748.4434637169
2500,110,178934.5263268155
2500,120,176483.8075553659
2500,130,174093.5146300485
2500,140,171763.6475508634
2500,150,169494.20631781046
2500,160,167285.1909308898
3000,110,177224.39647772012
3000,120,174814.0803491818
3000,130,172463.2704138336
3000,140,170171.9666716755
3000,150,167940.1691227075
3000,160,165767.87776692957
3500,110,175473.90242858103
3500,120,173102.11156905006
3500,130,170788.91851408422
3500,140,168534.3232636834
3500,150,166338.32581784765
3500,160,164200.92617657693
4000,110,173686.54693137846
4000,120,171351.54552042077
4000,130,169074.24450703576
4000,140,166854.64389122344
4000,150,164692.74367298378
4000,160,162588.54385231683
4500,110,171865.6702025793
4500,120,169565.8553082945
4500,130,167322.85412224222
4500,140,165136.6666444224
4500,150,163007.29287483505
4500,160,160934.73281348022
5000,110,170014.45631103328
5000,120,167748.3496517022
5000,130,165538.18048255634
5000,140,163383.94880359565
5000,150,161285.6546148201
5000,160,159243.2979162297
5500,110,168135.93933594538
5500,120,165902.17945055352
5500,130,163723.4910788203
5500,140,161599.87422074573
5500,150,159531.32887632982
5500,160,157517.85504557253
6000,110,166233.00930255526
6000,120,164030.34411312072
6000,130,161881.89448816772
6000,140,159787.66042769628
6000,150,157747.64193170637
6000,160,155761.839000198
6500,110,164308.41790292956
6500,120,162135.6976521821
6500,130,160016.34684457665
6500,140,157950.36548011313
6500,150,155937.75355879162
6500,160,153978.5110806121
7000,110,162364.78400904388
7000,120,160220.9545575979
7000,130,158129.65807004203
7000,140,156090.89454637634
7000,150,154104.66398660073
7000,160,152170.9663907153
7500,110,160404.59898511518
7500,120,158288.69545285832
7500,130,156224.4978744843
7500,140,154212.00624999317
7500,150,152251.22057938486
7500,160,150342.14086265938
8000,110,158430.23180593192
8000,120,156341.37254291127
8000,130,154303.40153225925
8000,140,152316.31877397586
8000,150,150380.12426806107
8000,160,148494.81801451492
8500,110,156443.93398772326
8500,120,154381.3148603521
8500,130,152368.7754428926
8500,140,150406.31573534466
8500,150,148493.93573770835
8500,160,146631.63544998367
9000,110,154447.8443379053
9000,120,152410.73331683927
9000,130,150422.90248342606
9000,140,148484.3518376657
9000,150,146595.08137955816
9000,160,144755.09110910344
9500,110,152443.9935298506
9500,120,150431.7255663886
9500,130,148467.94715953394
9500,140,146552.6583092866
9500,150,144685.85901564662
9500,160,142867.54927861402
10000,110,150434.3085086327
10000,120,148446.28068698983
10000,130,146505.96056234287
10000,140,144613.3481346919
10000,150,142768.44340403695
10000,160,140971.24637037798
10500,110,148420.61673351665
10500,120,146456.28368679117
10500,130,144538.8851376757
10500,140,142668.4210861703
10500,150,140844.89153227495
10500,160,139068.29647598966
11000,110,146404.6502627828
11000,120,144463.51984089916
11000,130,142568.55927422357
11000,140,140719.76856275604
11000,150,138917.14770649653
11000,160,137160.69670544504
11500,110,144388.04968630074
11500,120,142469.678864655
11500,130,140596.72171695193
11500,140,138769.17824319153
11500,150,136987.0484433738
11500,160,135250.33231749872
12000,110,142372.3679110956
12000,120,140476.35892905932
12000,130,138625.01581184033
12000,140,136818.3385594387
12000,150,135056.32717185447
12000,160,133338.98164908754
12500,110,140359.073804989
12500,120,138485.07052384363
12500,130,136654.993587869
12500,140,134868.84299706513
12500,150,133126.61875143208
12500,160,131428.3208509698
13000,110,138349.55570323154
13000,120,136497.2401735074
13000,130,134688.11968197158
13000,140,132922.1942286241
13000,150,131199.463813465
13000,160,129519.92843649424
13500,110,136345.12478289293
13500,120,134514.21401147425
13500,130,132725.77511249523
13500,140,130979.80808595582
13500,150,129276.31293185604
13500,160,127615.28965019592
14000,110,134347.01830961893
14000,120,132537.26121735302
14000,130,130769.26090652755
14000,140,129043.01737714252
14000,150,127358.53062919789
14000,160,125715.80066269371
14500,110,132356.40276122306
14500,120,130567.57732213337
14500,130,128819.80158628234
14500,140,127113.07555366996
14500,150,125447.39922429624
14500,160,123822.7725981612
