Altitude (ft),TAS (kts),Takeoff Thrust (N)
0,110,197430.5535417181
0,120,194395.9586989286
0,130,191436.34721028162
0,140,188551.71907577728
0,150,185742.0742954155
0,160,183007.41286919633
500,110,195922.14334770927
500,120,192946.61917673715
500,130,190044.95029142272
500,140,187217.1366917659
500,150,184463.17837776674
500,160,181783.07534942526
1000,110,194347.00954976486
1000,120,191427.46100743485
1000,130,188580.65463179443
1000,140,185806.59042284373
1000,150,183105.26838058265
1000,160,180476.68850501126
1500,110,192710.0149368851
1500,120,189843.56457592387
1500,130,187048.7577587643
1500,140,184325.5944854064
1500,150,181674.07475585013
1500,160,179094.19857009556
2000,110,191015.80242169838
2000,120,188199.77782215262
2000,130,185454.31221482475
2000,140,182779.40559971478
2000,150,180175.0579768227
2000,160,177641.2693461485
2500,110,189268.80360942672
2500,120,186500.72540566817
2500,130,183802.1353161717
2500,140,181173.03334093728
2500,150,178613.41947996485
2500,160,176123.29373325448
3000,110,187473.2470609469
3000,120,184750.817540219
3000,130,182096.8185573547
3000,140,179511.250112354
3000,150,176994.11220521692
3000,160,174545.40483594345
3500,110,185633.16625999197
3500,120,182954.258509297
3500,130,180342.736673732
3500,140,177798.6007532969
3500,150,175321.85074799176
3500,160,172912.48665781657
4000,110,183752.4072942325
4000,120,181115.054873179
4000,130,178544.056373107
4000,140,176039.41179401643
4000,150,173601.1211359073
4000,160,171229.18439877962
4500,110,181834.6362596919
4500,120,179237.02337771523
4500,130,176704.74474758614
4500,140,174237.80036930472
4500,150,171836.19024287089
4500,160,169499.9143682847
5000,110,179883.3463976585
5000,120,177323.7985747968
5000,130,174828.57737635687
5000,140,172397.68280233874
5000,150,170031.11485274247
5000,160,167728.87352756792
5500,110,177901.86497298998
5500,120,175378.84016414417
5500,130,172919.14612977058
5500,140,170522.78286986926
5500,150,168189.75038444015
5500,160,165920.0486734833
6000,110,175893.35990242838
6000,120,173405.44006575554
6000,130,170979.86668479026
6000,140,168616.63975953255
6000,150,166315.75928998238
6000,160,164077.22527613977
6500,110,173860.84614129024
6500,120,171406.7292320797
6500,130,169013.98576156353
6500,140,166682.61572974172
6500,150,164412.61913661432
6500,160,162203.99598218122
7000,110,171807.1918366366
7000,120,169385.68420869458
7000,130,167024.58809057795
7000,140,164723.9034822866
7000,150,162483.63038382065
7000,160,160303.76879518
7500,110,169735.12425478222
7500,120,167345.13345200743
7500,130,165014.603119568
7500,140,162743.53325746403
7500,150,160531.92386569545
7500,160,158379.77494426235
8000,110,167647.23549076385
8000,120,165287.76341222963
8000,130,162986.8114690601
8000,140,160744.37966125537
8000,150,158560.4679888153
8000,160,156435.07645173997
8500,110,165545.98796715145
8500,120,163216.12438962638
8500,130,160943.85114516722
8500,140,158729.16823377408
8500,150,156572.07565544685
8500,160,154472.57341018558
9000,110,163433.7197293594
9000,120,161132.63617179065
9000,130,158888.2235179769
9000,140,156700.48176791813
9000,150,154569.41092161438
9000,160,152495.01097906558
9500,110,161312.64954439466
9500,120,159039.59345945573
9500,130,156822.29907361942
9500,140,154660.76638688572
9500,150,152554.99539925467
9500,160,150504.9861107262
10000,110,159184.88180976015
10000,120,156939.1710881202
10000,130,154748.32294784623
10000,140,152612.33738893812
10000,150,150531.214411396
10000,160,148504.9540152198
10500,110,157052.4112790276
10500,120,154833.42905253873
10500,130,152668.42024870776
10500,140,150557.3848675347
10500,150,148500.32290901965
10500,160,146497.2343731625
11000,110,154917.12761038527
11000,120,152724.31734090464
11000,130,150584.60117567758
11000,140,148497.97911470418
11000,150,146464.4511579844
11000,160,144484.0173055182
11500,110,152780.81974427277
11500,120,150613.68058534127
11500,130,148498.76594234092
11500,140,146436.0758152717
11500,150,144425.61020413367
11500,160,142467.36910892682
12000,110,150645.1801160191
12000,120,148503.26253510432
12000,130,146412.70950953645
12000,140,144373.52103931538
12000,150,142385.6971244412
12000,160,140449.23776491394
12500,110,148511.80870921753
12500,120,146394.71035870092
12500,130,144328.1261356267
12500,140,142312.05603999493
12500,150,140346.50007180558
12500,160,138431.45823105864
13000,110,146382.21695538505
13000,120,144289.57878092796
13000,130,142246.61375035392
13000,140,140253.321863663
13000,150,138309.7031208552
13000,160,136415.75752193053
13500,110,144257.83148528181
13500,120,142189.3340606458
13500,130,140169.67815853565
13500,140,138198.86377895126
13500,150,136276.8909218927
13500,160,134403.75958735993
14000,110,142139.99773709057
14000,120,140095.35781491292
14000,130,138098.7370796507
14000,140,136150.1355313039
14000,150,134249.55316987258
14000,160,132396.98999535668
14500,110,140029.98342649496
14500,120,138008.9506949302
14500,130,136035.12402917427
14500,140,134108.50342922707
14500,150,132229.08889508873
14500,160,130396.88042675919
