Altitude (ft),TAS (kts),Takeoff Thrust (N)
0,110,187368.6514662856
0,120,184591.3063962895
0,130,181881.8484634506
0,140,179240.27766776888
0,150,176666.5940092444
0,160,174160.7974878772
500,110,185924.30874652663
500,120,183200.99749895494
500,130,180544.55207733298
500,140,177954.97248166075
500,150,175432.2587119383
500,160,172976.41076816557
1000,110,184418.07758947962
1000,120,181745.97293077628
1000,130,179139.7263215513
1000,140,176599.3377618047
1000,150,174124.8072515364
1000,160,171716.13479074644
1500,110,182854.47203021616
1500,120,180230.94544167587
1500,130,177672.28225035363
1500,140,175178.48245624942
1500,150,172749.54605936332
1500,160,170385.47305969524
2000,110,181237.80291869398
2000,120,178660.41311825215
2000,130,176146.90480240306
2000,140,173697.27797114672
2000,150,171311.53262448314
2000,160,168989.6687624123
2500,110,179572.1858023146
2500,120,177038.66781027368
2500,130,174568.06176979377
2500,140,172160.36768087492
2500,150,169815.5855435171
2500,160,167533.71535772036
3000,110,177861.54852802775
3000,120,175369.8032547578
3000,130,172940.01244275208
3000,140,170572.17609201054
3000,150,168266.2942025333
3000,160,166022.36677432025
3500,110,176109.63857317163
3500,120,173657.7229075972
3500,130,171266.815940756
3500,140,168936.917672648
3500,150,166668.02810327325
3500,160,164460.1472326317
4000,110,174320.03011396047
4000,120,171906.1474923928
4000,130,169552.3392404782
4000,140,167258.60535821662
4000,150,165024.94584560808
4000,160,162851.36070265257
4500,110,172496.1308402695
4500,120,170118.6222758692
4500,130,167800.26491065114
4500,140,165541.0587446154
4500,150,163341.00377776194
4500,160,161200.10001009074
5000,110,170641.1885251007
5000,120,168298.52407895838
5000,130,166014.09856364172
5000,140,163787.91197915067
5000,150,161619.96432548526
5000,160,159510.25560264545
5500,110,168758.29735686985
5500,120,166449.06803237332
5500,130,164197.17603323428
5500,140,162002.62135945275
5500,150,159865.4040110287
5500,160,157785.5239879622
6000,110,166850.40404240027
6000,120,164573.31408521553
6000,130,162352.67028782557
6000,140,160188.4726502305
6000,150,158080.72117243026
6000,160,156029.41585442482
6500,110,164920.31368827826
6500,120,162674.17327491083
6500,130,160483.59808796065
6500,140,158348.58812742765
6500,150,156269.1433933119
6500,160,154245.26388561336
7000,110,162970.69546798614
7000,120,160754.41376650755
7000,130,158592.82639686146
7000,140,156485.93335904786
7000,150,154433.7346530667
7000,160,152436.23027891805
7500,110,161004.0880820074
7500,120,158816.66666912957
7500,130,156683.07855233797
7500,140,154603.32373163255
7500,150,152577.40220701337
7500,160,150605.31397848035
8000,110,159022.9050178751
8000,120,156863.43163713664
8000,130,154756.94020821128
8000,140,152703.43073109895
8000,150,150702.9032057997
8000,160,148755.3576323135
8500,110,157029.4396169239
8500,120,154897.0822633117
8500,130,152816.86505312845
8500,140,150788.78798637417
8500,150,148812.85106304885
8500,160,146889.05428315248
9000,110,155025.86995429496
9000,120,152919.87127116864
9000,130,150865.1803144042
9000,140,148861.79708400153
9000,150,146909.7215799607
9000,160,145008.9538022817
9500,110,153014.26353854395
9500,120,150933.93551325606
9500,130,148904.09205428805
9500,140,146924.7331616399
9500,150,144995.85883531166
9500,160,143117.46907530332
10000,110,150996.58183700152
10000,120,148941.30078211418
10000,130,146935.6902658227
10000,140,144979.75028812714
10000,150,143073.48084902743
10000,160,141216.8819485236
10500,110,148974.68463284956
10500,120,146943.88644034133
10500,130,144961.95377523877
10500,140,143028.8866375419
10500,150,141144.68502725073
10500,160,139309.3489443652
11000,110,146950.3342196852
11000,120,144943.50987601676
11000,130,142984.75495760838
11000,140,141074.06946446002
11000,150,139211.45339657174
11000,160,137396.9067539435
11500,110,144925.19943916885
11500,120,142941.8907895367
11500,130,141005.86427227288
11500,140,139117.11988737728
11500,150,137275.65763485
11500,160,135481.477514691
12000,110,142900.85956717204
12000,120,140940.65531772465
12000,130,139026.95462434948
12000,140,137159.7574870465
12000,150,135339.06390581574
12000,160,133564.87388065722
12500,110,140878.80805367487
12500,120,138941.3400008955
12500,130,137049.6055584257
12500,140,135203.60472626548
12500,150,133403.33750441484
12500,160,131648.80389287375
13000,110,138860.4561214927
13000,120,136945.3955983697
13000,130,135075.30729035212
13000,140,133250.1911974399
13000,150,131470.04731963307
13000,160,129734.87565693162
13500,110,136847.13622875468
13500,120,134954.19075776148
13500,130,133105.46458285864
13500,140,131300.9577040461
13500,150,129540.67012132393
13500,160,127824.60183469203
14000,110,134840.10539989482
14000,120,132969.0155431909
14000,130,131141.40047053184
14000,140,129357.26018191763
14000,150,127616.59467734826
14000,160,125919.4039568237
14500,110,132840.54842977104
14500,120,130991.08482741048
14500,130,129184.35983951789
14500,140,127420.37346609328
14500,150,125699.12570713663
14500,160,124020.61656264793
